CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
01.235.622/0001-61;2021-12-01;1;Green Village - Vila Velha, ES;Incorporação Residencial;21348386.79;Recursos Próprios
01.235.622/0001-61;2021-12-01;1;Fernandes Guimarães, nº 75 - Rio de Janeiro, RJ;Incorporação Residencial;330000;Recursos Próprios
01.235.622/0001-61;2021-12-01;1;Rua Barão da Torre, nº 662;Incorporação Residencial;13426000;Recursos Próprios
01.235.622/0001-61;2021-12-01;1;Alberto de Campos, 100;Incorporação Residencial;16599006.12;Recursos Próprios
01.235.622/0001-61;2021-12-01;1;Sorocaba 420, 422 e 436;Incorporação Residencial;14000000;Recursos Próprios
03.683.056/0001-86;2021-12-01;1;Edificio JK Financial Center;.;128142097.85;Recursos próprios / estruturação de CRI
03.683.056/0001-86;2021-12-01;1;Edificio Girassol;.;33763203.38;Recursos próprios
04.782.236/0001-88;2021-12-01;2;Terreno 900m² Matrícula 3684;Investimento;450000;Caixa disponível
04.782.236/0001-88;2021-12-01;2;Terreno 450m² Matrícula 160949;Investimento;225000;Caixa disponível
07.583.627/0001-61;2021-12-01;1;N/A;N/A;0;N/A
08.431.747/0001-06;2021-12-01;1;Shopping Praça da Moça - 23,06%;Renda;90752549.07;Patrimônio
08.693.497/0001-82;2021-12-01;1;CORP VERDEDA;Aumento de renda;14190820.47;Caixa
08.693.497/0001-82;2021-12-01;1;EXT_FII VERE;Aumento de renda;367325.69;Caixa
09.072.017/0001-29;2021-12-01;1;EDIFÍCIO BERRINI ONE (EXPANSÃO: DUAS UNIDADES ADICIONAIS);Aplicação em ativos-alvo do Fundo;36200000;Caixa do fundo
09.517.273/0001-82;2021-12-01;1;LOJA HABITARTE;Rentabilidade;24100000;Caixa
09.517.273/0001-82;2021-12-01;1;MADUREIRA;Rentabilidade;43550000;Caixa
09.517.273/0001-82;2021-12-01;1;JANDIRA;Rentabilidade;37700000;Caixa
09.517.273/0001-82;2021-12-01;1;SANT ANTONIO;Rentabilidade;27700000;Caixa
09.552.812/0001-14;2021-12-01;1;CRI 19L0853159;Renda;4012963.68;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21B0695001;Renda;76667092.69;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21B0695002;Renda;26000000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21C0818300;Renda;12627397.46;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21D0695718;Renda;5900000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21D0696194;Renda;5000000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21G0479767;Renda;81952530.07;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21G0688208;Renda;31500000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21G0707741;Renda;25000000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21H0012919;Renda;20500000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21I0566602;Renda;20000000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21I0855537;Renda;30000000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21I0855623;Renda;30000000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21J0195709;Renda;35000000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21K0908334;Renda;20000000;Capital
09.552.812/0001-14;2021-12-01;1;CRI 21L0329277;Renda;30000000;Capital
09.552.812/0001-14;2021-12-01;1;KINEA SECURITIES FII;Renda;2093.52;Capital
09.552.812/0001-14;2021-12-01;1;HEDGE RECEBÍVEIS IMOBILIÁRIOS FII;Renda;12020851.28;Capital
09.552.812/0001-14;2021-12-01;1;FII MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS;Renda;5135.39;Capital
09.552.812/0001-14;2021-12-01;1;KINEA ÍNDICES DE PREÇOS  FII;Renda;35617999.68;Capital
10.427.246/0001-06;2021-12-01;1;Edifício Torre Almirante;Renda;384000000;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I FII;Lucro na Venda;779310.27;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - CANVAS CRI - FUNDO DE INVESTIMENTO IMOBILIÁRIO;Lucro na Venda;55000000;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;Lucro na Venda;10000000;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - HEDGE RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;Lucro na Venda;8009831.47;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;Lucro na Venda;47826.93;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - IRIDIUM FUNDO DE INVESTIMENTO IMOBILIÁRIO;Lucro na Venda;127911300;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;Lucro na Venda;12099887.5;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - FUNDO DE INVESTIMENTO IMOBILIARIO MOGNO FUNDO DE FUNDOS;Lucro na Venda;417077.5;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - MOGNO LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Lucro na Venda;23451320;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - RIO BRAVO CREDITO IMOB HIGH GRADE FUND DE INVEST;Lucro na Venda;41703296.21;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - RB CAPITAL LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;Lucro na Venda;28589900;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - RIZA AKIN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;Lucro na Venda;8753374.61;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - SUNO RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOB;Lucro na Venda;15000000;Capital
11.026.627/0001-38;2021-12-01;1;COTA DE FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO SUCCESPAR VAREJO;Lucro na Venda;25000057.13;Capital
11.026.627/0001-38;2021-12-01;1;CRI 21I0855537;Lucro na Venda;60000000;Capital
11.026.627/0001-38;2021-12-01;1;CRI 21I0855623;Lucro na Venda;60000000;Capital
11.026.627/0001-38;2021-12-01;1;CRI 21J0195709;Lucro na Venda;15000000;Capital
11.160.521/0001-22;2021-12-01;1;CRI - BARIGUI SECURITIZADORA S.A.;Aplicação em ativos-alvo do Fundo;10737526.97;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;CRI - GAIA SECURITIZADORA S.A.;Aplicação em ativos-alvo do Fundo;201383895.91;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;CRI - RB CAPITAL COMPANHIA DE SECURITIZAÇÃO;Aplicação em ativos-alvo do Fundo;97452349.52;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;CRI - TRUE SECURITIZADORA  S.A;Aplicação em ativos-alvo do Fundo;20268462.56;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;CRI - VERT COMPANHIA SECURITIZADORA;Aplicação em ativos-alvo do Fundo;62674443.46;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;CRI - VIRGO COMPANHIA SECURITIZADORA;Aplicação em ativos-alvo do Fundo;86524783.15;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;ARCT11;Aplicação em ativos-alvo do Fundo;63883.74;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;BARI11;Aplicação em ativos-alvo do Fundo;26350584.6;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;BBPO11;Aplicação em ativos-alvo do Fundo;11813.82;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;CCRF11;Aplicação em ativos-alvo do Fundo;15000000;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;CPTS11;Aplicação em ativos-alvo do Fundo;13554666.78;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;GAME11;Aplicação em ativos-alvo do Fundo;20000000;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;IRDM11;Aplicação em ativos-alvo do Fundo;801392.76;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;JFLL11;Aplicação em ativos-alvo do Fundo;10000000;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;KNIP11;Aplicação em ativos-alvo do Fundo;14999914.51504;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;MGCR11;Aplicação em ativos-alvo do Fundo;1000000;Caixa do fundo
11.160.521/0001-22;2021-12-01;1;SPVJ11;Aplicação em ativos-alvo do Fundo;15000099.36;Caixa do fundo
