CNPJ_Fundo;Data_Referencia;Versao;Ativo_Negociado;Natureza_Transacao;Data_Transacao;Valor_Envolvido;Data_Assembleia;Contraparte
03.507.519/0001-59;2018-12-01;1;0,6775% Shopping Pátio Higienopolis I;AQUISIÇÃO;2018-02-07;7113750;2017-12-27;Agropart Administração e Participação Ltda.
03.507.519/0001-59;2018-12-01;1;0,7321% Shopping Pátio Higienopolis II;AQUISIÇÃO;2018-02-07;3294450;2017-12-27;Agropart Administração e Participação Ltda.
07.583.627/0001-61;2018-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2018-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2018-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2018-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2018-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2018-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2018-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2018-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2018-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
08.924.783/0001-01;2018-12-01;3;Cotas do FII Prime Portfólio;AQUISIÇÃO;2019-01-04;1037150;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2018-12-01;3;Cotas do FII Prime Portfólio;AQUISIÇÃO;2019-01-30;1275694.5;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2018-12-01;3;Cotas do FII Prime Portfólio;AQUISIÇÃO;2019-02-09;1275694.5;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2018-12-01;3;Cotas do FII Prime Portfólio;AQUISIÇÃO;2019-02-27;4356030;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2018-12-01;3;Cotas do FII Prime Portfólio;AQUISIÇÃO;2019-07-25;1306809;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2018-12-01;3;Locação Banco Pan S/A;LOCAÇÃO;2016-11-14;44343.09;2016-10-06;Banco PAN S/A
08.924.783/0001-01;2018-12-01;3;BTG Capital Markets FI RF;AQUISIÇÃO;2018-12-31;16856751.09;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Anhanguera Educacional;AQUISIÇÃO;2018-02-28;32096.53;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Anhanguera Educacional;AQUISIÇÃO;2018-03-02;200572.37;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Anhanguera Educacional;AQUISIÇÃO;2018-04-30;221.13;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Campus Faria Lima;AQUISIÇÃO;2018-02-28;64015.77;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Campus Faria Lima;AQUISIÇÃO;2018-04-30;2161.75;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Brascan Lajes;AQUISIÇÃO;2018-04-30;164.49;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Ceo Cyrela;AQUISIÇÃO;2018-02-28;4528392.03;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-02;50701.71;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-03;419235.19;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-04;31126.14;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-05;47889.76;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-08;547507.22;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-09;553837.66;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-12;97956.93;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-15;133856.99;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-16;122658.48;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-17;148544.45;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-18;152540.35;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-19;10405.87;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-22;70539.53;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-23;135498.45;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-24;103.07;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-26;12151.79;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-29;29083.18;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-30;15024.81;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-01-31;36343.32;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-02-01;17676.91;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-02-05;83190.45;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-02-06;2383954.03;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-02-07;1144.56;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-02-08;72154.13;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-02-09;19378.86;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII BTG Pactual Fundo de CRI;AQUISIÇÃO;2018-02-15;31188.02;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Hospital Nossa Senhora de Lourdes;AQUISIÇÃO;2018-04-30;275.21;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Jardim Sul;AQUISIÇÃO;2018-04-30;79.11;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Iridium;AQUISIÇÃO;2018-04-30;5000000;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Anhanguera Educacional;ALIENAÇÃO;2018-01-12;20517.78;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Anhanguera Educacional;ALIENAÇÃO;2018-01-17;2288.38;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
11.026.627/0001-38;2018-04-01;1;FII Anhanguera Educacional;ALIENAÇÃO;2018-01-30;29242.28;2016-07-07;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
