CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Valor;Valor_Justo;Percentual_Valorizacao_Desvalorizacao
08.098.114/0001-28;2024-06-01;1;LOJA - CENTRO E CALL CENTER;26600000;S;0.023077
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING PÁTIO BELÉM;36900000;S;0.02216
08.098.114/0001-28;2024-06-01;1;LOJA - CENTRO BH;36700000;S;0.008241
08.098.114/0001-28;2024-06-01;1;LOJA - DEL REY BH;21600000;S;-0.009174
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING MINAS;24700000;S;0.024896
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING PÁTIO BRASIL;22900000;S;0.022321
08.098.114/0001-28;2024-06-01;1;LOJA - CENTRO CAMPINAS;27600000;S;-0.007194
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING CURITIBA;18400000;S;0.022222
08.098.114/0001-28;2024-06-01;1;LOJA - DUQUE DE CAXIAS;27500000;S;-0.010791
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING IGUATEMI FORTAL;29500000;S;0.024305
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING GOIÂNIA;18700000;S;0.038888
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING MACEIÓ;42900000;S;0.015384
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING NITERÓI;51400000;S;0.021868
08.098.114/0001-28;2024-06-01;1;LOJA - RECIFE;35800000;S;-0.016483
08.098.114/0001-28;2024-06-01;1;LOJA - OUVIDOR;43900000;S;-0.045652
08.098.114/0001-28;2024-06-01;1;LOJA - COPACABANA;74100000;S;0.032033
08.098.114/0001-28;2024-06-01;1;GARAGEM COPACABANA;4300000;S;-0.02272
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING NORTE;54800000;S;0.022388
08.098.114/0001-28;2024-06-01;1;LOJA - TIJUCA;41000000;S;-0.0509
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING  IGUATEMI RJ;11400000;S;1.3265
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING BARRA SALVADOR;19900000;S;0.020512
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING CENTER PIEDADE;41200000;S;0.017283
08.098.114/0001-28;2024-06-01;1;LOJA - SHOPPING ABC;17700000;S;0
08.098.114/0001-28;2024-06-01;1;LOJA - CENTRO SÃO LUIZ;19500000;S;-0.02985
08.098.114/0001-28;2024-06-01;1;LOJA - VITÓRIA;14500000;S;0.006944
08.098.114/0001-28;2024-06-01;1;UNITOLEDO;40700000;S;0
08.696.175/0001-97;2024-06-01;1;Galpão  / Ambev / RUA ALFREDO PINTO Nº 91 - SÃO JOSÉ DOS PINHAIS - PR;16320000;S;-0.0026
08.696.175/0001-97;2024-06-01;1;Galpão  / Barry / RUA "A" , QUADRA "D" LOTES  11, 12 E 13 - ILHÉUS - BA;27739000;S;0.0055
08.696.175/0001-97;2024-06-01;1;Loja no Shopping Metrô Tatuapé - SP / C&A / RUA DR. MELLO FREIRE S/N - SÃO PAULO - SP;41513000;S;-0.0123
08.696.175/0001-97;2024-06-01;1;Galpão  / Danfoss / RUA JOÃO FURLAN, S/Nº - OSASCO - SP;28077000;S;-0.0325
08.696.175/0001-97;2024-06-01;1;Loja  / Pernambucanas Nova Iguaçu / AVENIDA NILO PEÇANHA Nº 296, ESQUINA COM A VIA LIGHT - NOVA IGUAÇU - RJ;13309000;S;-0.0171
08.696.175/0001-97;2024-06-01;1;Galpão  / Astuti / AV. RONAT WALTER SODRE, Nº 2.800 - IBIPORÃ - PR;26953000;S;-0.0081
08.696.175/0001-97;2024-06-01;1;Misto / Telha Norte / AVENIDA GENERAL DAVID  -SARNOFF, Nº 4.840 - CONTAGEM - MG;27008000;S;-0.0372
11.827.568/0001-05;2024-06-01;1;TERRENO AV.BRASIL;498000;S;0.0283
11.827.568/0001-05;2024-06-01;1;Edifício West Convention;1220300;S;-0.0972
11.827.568/0001-05;2024-06-01;1;Terreno Barigüi;620000;S;-0.0441
11.827.568/0001-05;2024-06-01;1;HELBOR PATTEO MOGILAR SKY MALL & OFFICE;289300;S;0.286
11.827.568/0001-05;2024-06-01;1;HOTEL & SPA SETE LAGOAS;741400;S;-0.2388
11.827.568/0001-05;2024-06-01;1;RUA CAROLINA MACHADO;243400;S;-0.1195
11.827.568/0001-05;2024-06-01;1;Avenida das Américas;347100;S;-0.6316
11.827.568/0001-05;2024-06-01;1;Estrada dos Bandeirantes;1563300;S;-0.3726
11.827.568/0001-05;2024-06-01;1;Estrada dos Três Rios;1199500;S;-0.1409
11.827.568/0001-05;2024-06-01;1;Avenida Geremário Dantas;208500;S;-0.2132
11.827.568/0001-05;2024-06-01;1;Avenida Embaixador Abelardo Buerno;166000;S;-0.276
11.827.568/0001-05;2024-06-01;1;Avenida Porto dos Santos;146000;S;0.0952
11.827.568/0001-05;2024-06-01;1;Rua barra Bonita;379400;S;0.0691
11.827.568/0001-05;2024-06-01;1;LOTE N°02 / DA QUADRA 29;747000;S;0.3428
11.827.568/0001-05;2024-06-01;1;LOTE N°01 / QUADRA 28;919000;S;0.3564
11.827.568/0001-05;2024-06-01;1;Rua Penido Bumier;775299.99;S;0.4438
