CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
00.332.266/0001-31;2016-12-01;1;24;79074;0.0306;0.0006;0.03;1;169672;0.0657;0;0.0657;0;0;0;0;0;1;425515;0.1646;0;0.1646;0;0;0;0;0;2;1910112;0.7391;0;0.7391;0;0;0;0;0;;;;;
00.613.094/0001-74;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;237289;0.312881;0;1;;;;;;;;;;
00.762.723/0001-28;2016-12-01;1;553;6426671;0.18;0.97;0.03;2;4966826;0.14;;1;;;;;;1;6361951;0.17;;1;;;;;;;;;;;;;;;;1;18564458;0.51;;1
00.868.235/0001-08;2016-12-31;1;3;2100;0.0387;1;0;2;6056;0.1115;0;1;;;;;;1;9084;0.167243537815745;0;1;;;;;;;;;;;;;;;;1;37076;0.6826;0;1
01.201.140/0001-90;2016-12-01;1;561;5422398;0.0889;0.0807;0.0082;2;7968544;0.1306;0.0762;0.0544;0;0;0;0;0;1;10154470;0.1664;0;0.1664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;37473753;0.6141;0;0.6141
01.235.622/0001-61;2016-12-01;2;45;77774;1;0.11235;0;5;269320;1;0.38905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;345163;1;0;0.49861;0;0;0;0;0
01.497.954/0001-14;2016-12-01;1;4;576863;0.066276;0.008667;0.057609;;;;;;;;;;;;;;;;1;1740799;0.2;0.2;0;;;;;;;;;;;1;6386332;0.733724;0;0.733724
01.601.918/0001-59;2016-12-01;1;3;3150;0.0063;0;0.0063;2;71680;0.1434;0;0.1434;;;;;;1;100000;0.2;0;0.2;1;131798;0.2636;0;0.2636;1;193372;0.3867;0;0.3867;;;;;;;;;;
01.633.741/0001-72;2016-12-31;1;229;72130;0.1434;0.0636;0.0798;2;80212;0.1579;;0.1579;3;173471;0.341473;;0.3415;2;182195;0.358646;;0.3586;;;;;;;;;;;;;;;;;;;;
01.636.325/0001-28;2016-12-31;1;;;;;;;;;;;1;25000;0.107016882983459;;0.107016882983459;;;;;;1;52091;0.222984658059655;;0.222984658059655;2;156517;0.669998458956885;;0.669998458956885;;;;;;;;;;
01.657.856/0001-05;2016-12-31;1;84;2035679;0.4847;0.4847;0;6;2164321;0.5153;0.3607;0.1546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.964.775/0001-40;2016-12-01;1;;;;;;1;744200;0.0591;0;0.0591;;;;;;5;11838800;0.9408;0;0.9408;;;;;;;;;;;;;;;;;;;;
02.027.437/0001-44;2016-12-01;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;140000;1;0.5;0.5;;;;;
02.508.235/0001-14;2016-12-01;1;1;374;0.0219;0.0219;;3;4240;0.248;0.1743;0.0737;1;12486;0.7302;0.7302;;;;;;;;;;;;;;;;;;;;;;;;;;
03.251.720/0001-18;2016-12-31;1;181503;181503;0.242004;0.218259;0.023745;292299;292299;0.389732;0.157761;0.231971;;;;;;276198;276198;0.368264;;0.368264;;;;;;;;;;;;;;;;;;;;
03.507.519/0001-59;2016-12-01;1;1104;528889;0.9145;0.8443;0.0702;1;49464;0.0855;0.0855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
