CNPJ_Fundo;Data_Referencia;Versao;Nome_Diretor_Representante;Funcao;Nome_Empresa;Periodo;Cargo_Funcao;Atividade_Principal
00.332.266/0001-31;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;De 2015 até 2018;Chief Investment Officer;Investimentos Imobiliários
00.332.266/0001-31;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2019;Chief Executive Officer;Investimentos Imobiliários
00.762.723/0001-28;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;desde 2019;CEO chief executive officer;Investimentos Imobiliários
00.762.723/0001-28;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2015 - 2018;CIO Chief Investment officer;Investimentos Imobiliários
00.868.235/0001-08;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;desde 2019;Chief Executive Officer;Investimentos Imobiliários
00.868.235/0001-08;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;de 2015 até 2018;Chief Investment Officer;Investimentos Imobiliários
01.201.140/0001-90;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;de 2015 até 2018;Chief Investment Officer;Investimentos Imobiliários
01.201.140/0001-90;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;desde 2019;Chief Executive Officer;Investimentos Imobiliários
01.235.622/0001-61;2020-12-01;1;CARLOS ALBERTO SARAIVA;Diretor Responsável pelo FII;BNY Mellon Serviços Financeiros DTVM;2013 -Atualmente;Diretor Executivo;Responsável pelo negócio de Administração Fiduciária/ Banco
01.497.954/0001-14;2020-12-01;2;EDE ANTONIO GASPERIN;Diretor Responsável pelo FII;Corretora Geral de Valores e Câmbio Ltda.;Desde 01/06/1982;Diretor;Corretora de Valores e Câmbio
01.601.918/0001-59;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2015 a 2018;Chief Investment Officer;Investimentos Imobiliários
01.601.918/0001-59;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2019 até o presente momento;Chief Enterprise Officer;Investimentos Imobiliários
01.633.741/0001-72;2020-12-01;1;Fernando Ferreira da Silva Telles;Diretor Responsável pelo FII;Coinvalores C.C.V.M. Ltda.;24/06/1996 a atual;Sócio-diretor;Sociedade Distribuidora
01.636.325/0001-28;2020-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;BR-CAPITAL D.T.V.M. S.A.;2016 até a presente data;Diretoria;Distribuidora de Títulos e Valores Mobiliários
01.636.325/0001-28;2020-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.;2016 até a presente data;Diretoria;Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliária.
01.657.856/0001-05;2020-12-01;1;CAROLINA ANDREA GARISTO GREGÓRIO;Diretor Responsável pelo FII;BR-CAPITAL DTVM S.A.;2016 até a presente data;Diretora;Distribuidora de Titulos e Valores Mobiliários
01.657.856/0001-05;2020-12-01;1;CAROLINA ANDREA GARISTO GREGÓRIO;Diretor Responsável pelo FII;UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.;2016 até a presente data;Diretora;Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliários
01.964.775/0001-40;2020-12-01;1;Ernani Leite Vitorello;Diretor Responsável pelo FII;BANCO BCV;2011;Diretor Executivo;Administrador
02.027.437/0001-44;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2015 - 2018;CIO Chief Investment officer;Investimentos Imobiliários
02.027.437/0001-44;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;desde 2019;CEO chief executive officer;Investimentos Imobiliários
02.508.235/0001-14;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;de 2015 até 2018;Chief Investment Officer;Investimentos Imobiliários
02.508.235/0001-14;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;desde 2019;Chief Executive Officer;Investimentos Imobiliários
03.251.720/0001-18;2020-12-01;1;Fernando Ferreira da Silva Telles;Diretor Responsável pelo FII;Coinvalores C.C.V.M. Ltda.;24/06/1996 a atual;Sócio-diretor;Sociedade Distribuidora
03.507.519/0001-59;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2015 - 2018;CIO Chief Investment officer;Investimentos Imobiliários
03.507.519/0001-59;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2019 até o presente momento;CEO chief executive officer;Investimentos Imobiliários
03.683.056/0001-86;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2015 a 2018;Chief Investment Officer;Investimentos Imobiliários
03.683.056/0001-86;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;2019 até o presente momento;Chief Enterprise Officer;Investimentos Imobiliários
03.855.441/0001-63;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;Desde 2019;Chief Executive Officer;Investimentos Imobiliários
03.855.441/0001-63;2020-12-01;1;PAULO ANDRE PORTO BILYK;Diretor Responsável pelo FII;Rio Bravo Investimentos;De 2015 até 2018;Chief Investment Officer;Investimentos Imobiliários
04.066.582/0001-60;2020-12-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
04.066.582/0001-60;2020-12-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
04.141.645/0001-03;2020-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;BR-CAPITAL D.T.V.M. S.A.;2016 até apresente data;Diretora;Distribuidora de Títulos e Valores Mobiliários
04.141.645/0001-03;2020-12-01;1;CAROLINA ANDREA GARISTO GREGORIO;Diretor Responsável pelo FII;UNITAS CONSULTORIA E EMPREENDIMENTOS LTDA.;2016 até apresente data;Diretora;Consultoria Imobiliária, Estruturação e Desenvolvimento de Empreendimentos Imobiliária.
04.722.883/0001-02;2020-12-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
04.722.883/0001-02;2020-12-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
04.782.236/0001-88;2020-12-01;1;Fernando Ferreira da Silva Telles;Diretor Responsável pelo FII;Coinvalores C.C.V.M. Ltda.;24/06/1996;Diretor;Sociedade Corretora
05.437.916/0001-27;2020-12-01;1;Fernando Ferreira da Silva Telles;Diretor Responsável pelo FII;Coinvalores C.C.V.M. Ltda.;24/06/1996;Diretor;Sociedade Corretora
05.562.312/0001-02;2020-12-01;2;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
05.562.312/0001-02;2020-12-01;2;Luiz Gustavo Aurnheimer Vieira;Representante de cotistas;Consenso Locação e construção de Imóveis Ltda;17 anos;Sócio;Locação e construção de imóveis
05.562.312/0001-02;2020-12-01;2;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
05.562.312/0001-02;2020-12-01;2;Gabriel José Lindenbaum;Representante de cotistas;Lisboa Lindenbaum Imoveis LTDA;30 anos;Sócio Gerente;Administração de imóveis
06.175.262/0001-73;2020-12-01;1;José Alexandre Costa de Freitas;Diretor Responsável pelo FII;Oliveira Trust;Março de 1992 - Data atual;Diretor Presidente;Distribuidora de Títulos e Valores Mobiliários
07.000.400/0001-46;2020-12-01;1;BERNARDO AURNHEIMER VIEIRA;Representante de cotistas;Consenso Locação e construção de Imóveis Ltda;16 aos;Sócio;administração
07.000.400/0001-46;2020-12-01;1;GABRIEL JOSÉ LINDENBAUM;Representante de cotistas;LISBOA LINDENBAUM IMOVEIS LTDA.;29 anos;Sócio Gerente;Administração de Imoveis
07.000.400/0001-46;2020-12-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
07.000.400/0001-46;2020-12-01;1;Luiz Gustavo Aurnheimer Vieira;Representante de cotistas;Consenso Locação e construção de Imóveis Ltda;16 anos;Sócio;Locação e construção de imóveis
07.000.400/0001-46;2020-12-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
07.122.725/0001-00;2020-12-01;1;Allan Hadid;Diretor Responsável pelo FII;Banco BTG Pactual S.A;De julho de 2014 até hoje;Ingressou como partner no Banco BTG Pactual S.A. na posição de COO (Chief Operations Officer) da área de Merchant Banking e, atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management;Atualmente, ocupa o cargo de COO (Chief Operations Officer) da área de Global Asset Management.
07.122.725/0001-00;2020-12-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
07.224.019/0001-60;2020-12-01;1;Allan Hadid;Diretor Responsável pelo FII;BRZ Investimentos;De junho de 2011 até junho de 2014;CEO (Chief Executive Officer);Atuou na área de gestão de recursos
