CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
08.098.114/0001-28;2024-06-01;1;2024-09-26;HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2006-06-26;INVESTIDORES EM GERAL;BRPRGDCTF001;8898724;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/06;S;S;N;S;S;BRL TRUST DTVM S.A;08098114000128;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.brltrust.com.br;infolegal@apexgroup.com
08.696.175/0001-97;2024-06-01;1;2024-09-27;RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2009-11-30;INVESTIDORES EM GERAL;BRFIIPCTF001;927162;N;N;Renda;Híbrido;Passiva;Indeterminado;;30/06;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;08696175000197;Avenida das Américas;3.434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
11.827.568/0001-05;2024-06-01;1;2024-08-02;INCENTIVO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2010-06-23;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRINC1CTF005;37122134.490524;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;RJI CTVM LTDA;42066258000130;AVENIDA RIO BRANCO;138;4º ANDAR - SALA 402;CENTRO;RIO DE JANERIO;RJ;20040-002;21-3500-4514;;;www.rjicv.com.br;controladoria.fundos@rjicv.com.br
11.839.593/0001-09;2024-06-01;1;2024-09-27;BTG PACTUAL LOGISTICA FII;2010-08-06;INVESTIDORES EM GERAL;BRBTLGCTF000;43249151;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/06;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11)3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
11.945.604/0001-27;2024-06-01;1;2024-09-27;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II - FII;2010-09-27;INVESTIDOR QUALIFICADO;BRRBDSCTF006;126523;N;N;Desenvolvimento para Venda;Residencial;Ativa;Determinado;2024-12-31;30/06;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;11945604000127;Avenida das Américas;3434;Bl. 07 Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
12.005.956/0001-65;2024-06-01;1;2024-09-20;KINEA RENDA IMOBILIARIA FII;2010-08-11;INVESTIDORES EM GERAL;BRKNRICTF007;28244415;N;N;Renda;Híbrido;Ativa;Indeterminado;;30/06;S;N;N;S;N;INTRAG DISTR DE TITULOS E VALORES MOBILIARIOS LTDA;62418140000131;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
12.978.943/0001-72;2024-06-01;1;2024-09-18;PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2011-03-31;INVESTIDORES EM GERAL;BRPQAGCTF009;13991890;N;N;Desenvolvimento para Renda;Logística;Ativa;Indeterminado;;30/06;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
13.000.836/0001-38;2024-06-01;1;2024-09-02;OSASCO PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2018-03-01;INVESTIDOR QUALIFICADO;BRBRTYCTF000;23.97475522;N;N;Renda;Outros;Ativa;Indeterminado;;30/06;N;N;S;N;N;PLANNER CORRETORA DE VALORES S.A.;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2667;0800 179 444;(11) 2172-2600;www.planner.com.br;inforegulatorio@planner.com.br
14.056.001/0001-62;2024-06-01;1;2024-09-27;PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2016-03-01;INVESTIDOR QUALIFICADO;BRPRSNCTF005;51699.979;N;N;Desenvolvimento para Venda;Residencial;Ativa;Determinado;2031-07-26;30/06;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;14056001000162;Avenida das Américas;3434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
14.080.689/0001-16;2024-06-01;1;2024-09-27;POLO FII RECEBÍVEIS IMOBILIÁRIOS I;2014-05-09;INVESTIDOR QUALIFICADO;BRPLRICTF000;954304;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;14080689000116;Avenida das Américas;3434;Bloco 7, Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
14.410.722/0001-29;2024-06-01;1;2024-08-30;TIVIO RENDA IMOBILIÁRIA;2023-09-18;INVESTIDOR PROFISSIONAL;BRBBPOCTF003;15919690;S;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;Junho;S;S;N;S;S;BEM DTVM LTDA;00066670000100;Núcleo Cidade de Deus;S/N;Prédio Prata - 4º Andar;Vl Yara;Osasco;SP;06029-900;(11) 3684-4522;;;www.bradescobemdtvm.com.br;bemdtvm@bradesco.com.br
14.423.780/0001-97;2024-06-01;1;2024-09-19;KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOB;2011-12-01;INVESTIDOR QUALIFICADO;BRKNRECTF006;18547161.2;N;N;Desenvolvimento para Venda;Residencial;Ativa;Determinado;2023-08-14;30/06;S;N;N;S;N;INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62418140000131;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
14.631.148/0001-39;2024-06-01;1;2024-08-08;HAZ FUNDO DE INVESTIMENTO IMOBILIARIO;2011-11-09;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRATCCTF008;928908.19633869;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;RJI CTVM LTDA;42066258000130;AVENIDA RIO BRANCO;138;4º ANDAR - SALA 402;CENTRO;RIO DE JANERIO;RJ;20040-002;21-3500-4514;;;www.rjicv.com.br;controladoria.fundos@rjicv.com.br
