CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
01.497.954/0001-14;2018-12-01;1;Castro Martini Engenheiros Associados Ltda.;02.989.103/0001-51;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2018-12-01;1;Bernardes de Oliviera e Martini Engenheiros Associados S/S;10.412.737/0001-31;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2018-12-01;1;Lippert Advogados;92.248.004/0001-01;R Manoelito De Ornellas, 55 - 10 Andar -Porto Alegre/RS.;(51) 3227-3448
01.636.325/0001-28;2018-12-01;1;Smith Advogados Assoc;;;
01.657.856/0001-05;2018-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
04.141.645/0001-03;2018-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
05.562.312/0001-02;2018-12-01;1;CWR CONSTRUCOES REFORMAS E COMERCIO LTDA ME;07.681.401/0001-01;Rua Ricardo Machado 895 - Vasco da Gama CEP: 20921.270;(21) 2580-1334
05.562.312/0001-02;2018-12-01;1;HINES GERENCIAMENTO DE PROPRIEDADES;10.422.274/0002-03;Avenida Almt Barroso, 81 - sala 1601 - Centro, Rio de Janeiro/RJ - CEP: 20031-004;(11) 5504-7463
05.562.312/0001-02;2018-12-01;1;M A CAMPOS L CORREA CONSULTORIA EMPRESARIAL - EPP;24.375.627/0001-95;Avenida Pres. Vargas, 633 - sala 914 - Centro, Rio de Janeiro/RJ - CEP: 20071-905;(21) 3215-6813
05.562.312/0001-02;2018-12-01;1;GERPRO ENGENHARIA LTDA;10.518.679/0001-69;Avenida Rio Branco, 181 - sala 2104 e 2105 - Centro, Rio de Janeiro/RJ - CEP: 20040-918;(21) 2215-1132
06.175.262/0001-73;2018-12-01;1;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Avenida Brigadeiro Faria Lima 3400, 10º andar, CEP 04310-030, São Paulo - SP;11 3003-9285
07.000.400/0001-46;2018-12-01;1;Cushman & Wakefield Consultoria Imobiliária Ltda;02.730.611/0001-10;Al Araguaia 2044, Bloco 1, sala 1312;(61) 99244 4878
07.583.627/0001-61;2018-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2018-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2018-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2018-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2018-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2018-12-01;1;N/A;0;N/A;0
08.014.513/0001-63;2018-12-01;1;PELUSO, STUPP E GUARITA ADVOGADOS;08.806.957/0001-06;Av. Angelica 02582 - Consolação - São Paulo, SP;(11) 3637-3078
08.706.065/0001-69;2018-12-01;1;HOTEL VENTURES ASSESSORIA E CONSULTORIA EM TURISMO LTDA;03.558.771/0001-97;Av Brigadeiro Faria Lima 01912, conj 20j - São Paulo, SP;(11) 5511-0244
08.706.065/0001-69;2018-12-01;1;HOTEL PARTNERS ASSESSORIA EM TURISMO LTDA;03.593.755/0001-35;Av Brigadeiro Faria Lima 01912, conj 20 - São Paulo, SP;(11) 3728-8100
