CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Valores;Causa_Contingencia
04.722.883/0001-02;2021-12-01;1;0129830-64.2010.8.26.0100 (583.00.2010.129830);857626.94;Em princípio, sem contingência passiva, na medida em que Fundo/Seus antecessores não está no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
04.722.883/0001-02;2021-12-01;1;1123873-21.2017.8.26.0100;148010.63;Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento a favor do réu/executado.
04.722.883/0001-02;2021-12-01;1;1119129-12.2019.8.26.0100;1000;Trata-se de demanda para a produção antecipada de provas, com tutela parcialmente deferida para a produção de prova de engenharia e verificação de razões de vazamento no imóvel ocupado pelo autor. Resultado das provas produzidas pode ser utilizado por autor para a propositura de demanda principal, que terá seu risco e impacto oportunamente analisados em caso de efetiva proposição.
04.722.883/0001-02;2021-12-01;1;0085611-48.2019.8.26.0100;0;Incidente Processual - Análise do Risco na Demanda Principal
05.562.312/0001-02;2021-12-01;1;0100485-40.2016.5.01.0019;74842.78;Trata-se de ação em que o FII Almirante Barroso tem apenas o dever de depositar em juízo eventuais valores devidos à empresa ré, para fins de satisfação de crédito trabalhista. Em princípio, sem impacto financeiro adicional ao fundo, exceto eventuais depesas e honorários relacionados à representaçaõ do FII em juízo.
07.583.627/0001-61;2021-12-01;1;N/A;0;N/A
08.924.783/0001-01;2021-12-01;2;0043393-15.2014.8.07.0001 (2014.01.1.171683 - 2);0.00;De acordo com andamento do escritório, não há risco de perda financeira para o fundo. Demanda meramente acompanhada, pois pode trazer efeitos à 2016.01.1.032377-2.
10.375.382/0001-91;2021-12-01;1;0502496-13.2012.8.24.0023;9607.02;Ação proposta com o intuito dedeclarar a nulidade do contratofirmado entre as partes, eximindo oautor de qualquer pagamento.Contrato de publicidade firmado com o shopping, no qual se impôs pagamento de valores que restaram acordados como isentos quando da assinatura do contrato.
10.375.382/0001-91;2021-12-01;1;0323575-27.2015.8.24.0023;3000;Ação proposta com o intuito de condenar os réus a solidariamente pagar indenização por danos morais aos autores. Autor que se lesionou ao colidir com uma prateleira de vidro que estava quebrada.
10.375.382/0001-91;2021-12-01;1;1058981-40.2016.8.26.0100;411257.86;Habilitação em Recuperação judicial com vistas a reaver valores devidos pela Camisaria Colombo.
10.375.382/0001-91;2021-12-01;1;0302970-87.2014.8.24.0090;38399;Ação proposta com o objetivo de condenar as empresas rés ao pagamento de indenização por danos materiais (R$ 16.679,00) e morais (30 salários mínimos)
10.375.382/0001-91;2021-12-01;1;0001494-38.2016.5.12.0014;36000;Trata-se de Ação Trabalhista interposta por Funcionário Terceirizado pela empresa Allpark, que requer responsabilização subsidiária do Floripa Shopping (3º Reclamado), estabilidade por acidente de trabalho - indenização substitutiva horas extras (intervalo intrajornada e interjornada) adicional noturno em 35% adicional de insalubridade (grau máximo) requer adicional de periculosidade  em 30% adicional quebra de caixa em 20% dano moral multa do artigo 477 da CLT multa convencional justiça gratuita  FGTS verbas rescisórias honorários sucumbenciais em 20%.
10.375.382/0001-91;2021-12-01;1;0307388-70.2017.8.24.0023;251977.14;Ação Monitória proposta com o objetivo de condenar ambos os réus ao pagamento de R$ 232.071,88 e o réu Bernardo a R$ 19.905,26 (débitos referentes ao instrumento particular de contrato de locação de loja de uso comercial de uso comercial no Floripa Shopping - Loja 224 - TIBAUX Joalheiros)
10.375.382/0001-91;2021-12-01;1;0304781-21.2016.8.24.0023;168000;Ação renovatória de locação
10.375.382/0001-91;2021-12-01;1;0309089-32.2018.8.24.0023;1409949.26;Execução do "Instrumento particular de contrato de locação de loja de uso comercial no Floripa Shopping", referente à sala comercial nº 04 (Policlínica da Cruz Vermelha)
10.375.382/0001-91;2021-12-01;1;0309155-12.2018.8.24.0023;196162.98;Execução do "Instrumento particular de contrato de locação de loja de uso comercial no Floripa Shopping", referente ao espaço de uso comercial n. 146 (loja Filhos e Filhas)
10.375.382/0001-91;2021-12-01;1;0307256-76.2018.8.24.0023;10000;Ação proposta com o intuito de solicitar a prestação de contas para apurar a regularidade da destinação dos pagamentos referentes aos encargos condominiais
10.375.382/0001-91;2021-12-01;1;5046285-19.2021.8.24.0023;375990.79;Cumprimento de sentença que condenou a executada (Maristela) ao pagamento do débito com o Shopping, bem como a custas processuais e honorários advocatícios.
