CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
01.235.622/0001-61;2019-12-01;3;Rua das Laranjeiras, Lote 1 do PA 38.153, Laranjeiras - RJ;Incorporação residencial;15633000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 04 Búzios - RJ;Incorporação residencial;1300000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 06 Buzios - RJ;Incorporação residencial;1700000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 07 Buzios - RJ;Incorporação residencial;2400000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 20 Buzios - RJ;Incorporação residencial;300000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 73 Buzios - RJ;Incorporação residencial;100000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 78 Buzios - RJ;Incorporação residencial;600000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 79 Buzios - RJ;Incorporação residencial;1600000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 80 Buzios - RJ;Incorporação residencial;3800000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra Área  Especial 3 Lote Área  Especial 3 Buzios - RJ;Incorporação residencial;100000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 73 Buzios - RJ;Incorporação residencial;7950000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 74 Buzios - RJ;Incorporação residencial;11390000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Baia Blanca Quadra 20 Buzios - RJ;Incorporação residencial;400000;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Lot Golf Resort I Quadra C Buzios - RJ;Incorporação residencial;4376211.2;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Lot Golf Resort II Quadra F Buzios - RJ;Incorporação residencial;2584096;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Lot Golf Resort II Quadra B-1 Buzios - RJ;Incorporação residencial;3665454.4;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Lot Golf Resort II Quadra C1 Buzios - RJ;Incorporação residencial;5301635.2;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Lot Golf Resort II Quadra H1 Buzios - RJ;Incorporação residencial;2195304;Recursos Próprios
01.235.622/0001-61;2019-12-01;3;Lot Golf Resort II Quadra I-1 Buzios - RJ;Incorporação residencial;2456859.2;Recursos Próprios
02.508.235/0001-14;2019-12-01;1;Não houve aquisições no período;Não houve aquisições no período;0,00;Não houve aquisições no período
03.683.056/0001-86;2019-12-01;1;Edifício Parque Cultural Paulista;Imóvel para Renda;38584517;Recursos próprios / emissão de cotas
03.683.056/0001-86;2019-12-01;1;Edifício Condomínio Continental Square Faria Lima;Imóvel para Renda;89024567.44;Recursos próprios / emissão de cotas
