CNPJ_Fundo;Data_Referencia;Versao;Ativo_Negociado;Natureza_Transacao;Data_Transacao;Valor_Envolvido;Data_Assembleia;Contraparte
07.583.627/0001-61;2016-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;AQUISIÇÃO;1899-12-31;0;1899-12-31;Não aplicável
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-01-04;4356030;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Edifício Burity;LOCAÇÃO;2016-11-14;194947.2;2016-10-06;Banco Pan S.A
08.924.783/0001-01;2016-12-01;1;LCI;ALIENAÇÃO;2016-10-31;30600337.9;2016-10-06;BRAZILIAN MORTGAGES
08.924.783/0001-01;2016-12-01;1;LCI;ALIENAÇÃO;2016-08-11;10000027.1;2016-10-06;BRAZILIAN MORTGAGES
08.924.783/0001-01;2016-12-01;1;LCI;ALIENAÇÃO;2016-05-25;6000026.38;2016-10-06;BRAZILIAN MORTGAGES
08.924.783/0001-01;2016-12-01;1;LCI;ALIENAÇÃO;2016-05-12;20001095.83;2016-10-06;BRAZILIAN MORTGAGES
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-12-28;5399402.9;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-12-23;10367143.97;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-10-31;21572720;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-09-30;6000120.18;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-08-09;9999992.87;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-08-08;500113.73;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-05-25;24700142.11;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-04-27;6450658.14;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-03-09;8300104.02;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
08.924.783/0001-01;2016-12-01;1;Cotas do FII Prime Portfólio;AQUISIÇÃO;2016-02-12;5180564.25;2016-10-06;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM
