CNPJ_Fundo;Data_Referencia;Versao;Numero_Cotistas_Faixa_Ate_5;Numero_Cotas_Detidas_Faixa_Ate_5;Percentual_Cotas_Detidas_Faixa_Ate_5;Percentual_Detido_PF_Faixa_Ate_5;Percentual_Detido_PJ_Faixa_Ate_5;Numero_Cotistas_Faixa_5a10;Numero_Cotas_Detidas_Faixa_5a10;Percentual_Cotas_Detidas_Faixa_5a10;Percentual_Detido_PF_Faixa_5a10;Percentual_Detido_PJ_Faixa_5a10;Numero_Cotistas_Faixa_10a15;Numero_Cotas_Detidas_Faixa_10a15;Percentual_Cotas_Detidas_Faixa_10a15;Percentual_Detido_PF_Faixa_10a15;Percentual_Detido_PJ_Faixa_10a15;Numero_Cotistas_Faixa_15a20;Numero_Cotas_Detidas_Faixa_15a20;Percentual_Cotas_Detidas_Faixa_15a20;Percentual_Detido_PF_Faixa_15a20;Percentual_Detido_PJ_Faixa_15a20;Numero_Cotistas_Faixa_20a30;Numero_Cotas_Detidas_Faixa_20a30;Percentual_Cotas_Detidas_Faixa_20a30;Percentual_Detido_PF_Faixa_20a30;Percentual_Detido_PJ_Faixa_20a30;Numero_Cotistas_Faixa_30a40;Numero_Cotas_Detidas_Faixa_30a40;Percentual_Cotas_Detidas_Faixa_30a40;Percentual_Detido_PF_Faixa_30a40;Percentual_Detido_PJ_Faixa_30a40;Numero_Cotistas_Faixa_40a50;Numero_Cotas_Detidas_Faixa_40a50;Percentual_Cotas_Detidas_Faixa_40a50;Percentual_Detido_PF_Faixa_40a50;Percentual_Detido_PJ_Faixa_40a50;Numero_Cotistas_Faixa_Acima_50;Numero_Cotas_Detidas_Faixa_Acima_50;Percentual_Cotas_Detidas_Faixa_Acima_50;Percentual_Detido_PF_Faixa_Acima_50;Percentual_Detido_PJ_Faixa_Acima_50
00.332.266/0001-31;2020-12-01;1;5294;856535;0.305889079473981;0.514960859743034;0.485039140256966;1;169672;0.0605939183950568;0;1;2;675484;0.241231448755048;0;1;;;;;;;;;;;1;1098458;0.39228555337591;0;1;;;;;;;;;;
00.613.094/0001-74;2020-12-01;1;459;99212;0.1308;0.5109;0.4891;1;54168;0.0714;0;1;1;88986;0.1174;0;1;1;121738;0.1605;0;1;2;394296;0.5199;0;1;;;;;;;;;;;;;;;
00.762.723/0001-28;2020-12-01;1;3501;470149;0.1811;0.999;0.001;2;343673;0.1325;0;1;;;;;;1;454425;0.1752;0;1;;;;;;;;;;;;;;;;1;1326032;0.5112;0;1
00.868.235/0001-08;2020-12-01;1;3;2100;0.0387;1;0;2;6056;0.1115;0;1;;;;;;1;9084;0.167243537815745;0;1;;;;;;;;;;;;;;;;1;37076;0.6826;0;1
01.201.140/0001-90;2020-12-01;1;20655;2300665;0.1885197871849;0.1800921890688;0.00842759811610008;3;2408418;0.197349308205053;0.0761800821102681;0.121169226094785;;;;;;;;;;;;;;;;;;;;;;;;;;1;7494750;0.614130822668583;0;0.614130822668583
01.235.622/0001-61;2020-12-01;1;50;93867;0.1071;0.0223;0.0848;5;313941;0.3582;0;0.3582;1;116751;0.1332;0;0.1332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;351962;0.4015;0;0.4015;0;0;0;0;0
01.497.954/0001-14;2020-12-01;2;4;576863;0.066276;0.008667;0.057609;;;;;;;;;;;;;;;;1;1740799;0.2;0.2;0;;;;;;;;;;;1;6386332;0.733724;0;0.733724
01.601.918/0001-59;2020-12-01;1;1;500000;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.633.741/0001-72;2020-12-01;1;350;104120;0.205;0.0567;0.1483;1;44563;0.0877;;0.0877;;;;;;1;91389;0.1799;;0.1799;;;;;;;;;;;;;;;;1;267936;0.5274;;0.5274
01.636.325/0001-28;2020-12-01;1;;;;;;;;;;;1;25138;0.107016882983459;;0.107016882983459;;;;;;1;52379;0.222984658059655;;0.222984658059655;2;157383;0.669998458956885;;0.669998458956885;;;;;;;;;;
