CNPJ_Fundo;Data_Referencia;Versao;Nome_Prestador;CNPJ_Prestador;Endereco;Telefone
01.497.954/0001-14;2019-12-01;1;Castro Martini Engenheiros Associados Ltda.;02.989.103/0001-51;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2019-12-01;1;Bernardes de Oliviera e Martini Engenheiros Associados S/S;10.412.737/0001-31;Avenida Carlos Gomes, 111 CJ 1302 B - Porto Alegre/RS.;(51) 3328-2792
01.497.954/0001-14;2019-12-01;1;Lippert Advogados;92.248.004/0001-01;R Manoelito De Ornellas, 55 - 10 Andar -Porto Alegre/RS.;(51) 3227-3448
01.636.325/0001-28;2019-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
01.636.325/0001-28;2019-12-01;1;Smith e Advogados Associados;4382706000116;Av. Cristovão Colombo, 2955 - conj. 503;51-3212-6665
01.657.856/0001-05;2019-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740-2575
01.657.856/0001-05;2019-12-01;1;Deda Sociedade de Advogados;127385000152;Av. Tancredo Neves, 1283 - sala 1003  - Pituba - Salvador/BA;(71) 3505-1167
04.141.645/0001-03;2019-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
04.141.645/0001-03;2019-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
05.562.312/0001-02;2019-12-01;2;CWR CONSTRUCOES REFORMAS E COMERCIO LTDA ME;07.681.401/0001-01;Rua Ricardo Machado 895 - Vasco da Gama CEP: 20921.270;(21) 2580-1334
05.562.312/0001-02;2019-12-01;2;GERPRO ENGENHARIA LTDA;10.518.679/0001-69;Avenida Rio Branco, 181 - sala 2104 e 2105 - Centro, Rio de Janeiro/RJ - CEP: 20040-918;(21) 2215-1132
06.175.262/0001-73;2019-12-01;1;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Avenida Brigadeiro Faria Lima 3400, 10º andar, CEP 04310-030, São Paulo - SP;11 3003-9285
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A;0
07.583.627/0001-61;2019-12-01;1;N/A;0;N/A;0
08.706.065/0001-69;2019-12-01;1;HOTEL VENTURES ASSESSORIA E CONSULTORIA EM TURISMO LTDA;03.558.771/0001-97;Av Brigadeiro Faria Lima 01912, conj 20j - São Paulo, SP;(11) 5511-0244
08.706.065/0001-69;2019-12-01;1;HOTEL PARTNERS ASSESSORIA EM TURISMO LTDA;03.593.755/0001-35;Av Brigadeiro Faria Lima 01912, conj 20 - São Paulo, SP;(11) 3728-8100
10.456.799/0001-89;2019-12-01;1;Condominio Viva Open Mall;;Av. Dr. Nilo Peçanha, 3228 - Porto Alegre/RS;51 - 3073-7130
11.602.654/0001-01;2019-12-01;1;CONSTRUTORA CRR INCORPORACAO E PARTICIPACOES LTDA;67280339000160;RUA HADDOCK LOBO, 846, Andar 8, Cerqueira Cesar, São Paulo, SP - 01414-002;(11) 3016-3016
12.323.955/0001-69;2019-12-01;1;LESTE REAL ESTATE CONSULTORIA IMOBILIÁRIA LTDA;28.758.934/0001-06;Rua Dias Ferreira, 190, sala 601, Leblon - Rio de Janeiro/RJ - CEP: 22431-050;(21) 2252-5294
12.927.767/0001-40;2019-12-01;1;Líder Serviços Gerais Ltda;23.211.179/0001-21;Avenida Embaixador Abelardo Bueno, 01, BL 01, sala 311E - Jacarepaguá - CEP 22775-022 - Rio de Janeiro;(21)3298-9002
12.989.974/0001-29;2019-12-01;1;Líder Serviços Gerais Ltda;23.211.179/0001-21;Avenida Embaixador Abelardo Bueno, 01, BL 01, sala 311E - Jacarepaguá - CEP 22775-022 - Rio de Janeiro;(21)3298-9002
13.020.465/0001-56;2019-12-01;1;-;-;-;-
13.022.993/0001-44;2019-12-01;1;VBI REAL ESTATE GESTAO DE CARTEIRAS;11274775000171;R. Funchal, 418 - Vila Olímpia, São Paulo - SP, 04551-060;(11) 2344-2525
15.006.267/0001-63;2019-12-01;1;CBRE Consultoria do Brasil LTDA;51.718.575/0001-85;Av das Nações Unidas 14171 - São Paulo, SP;(11) 4064 4041
15.461.076/0001-91;2019-12-01;1;BSH BRASIL SERVICE & HOLDING LTDA;59.944.710/0001-12;AV.BRIGADEIRO LIMA E SILVA,1768 1A SP;(11)3813-6188
15.461.076/0001-91;2019-12-01;1;COLLIES INTERNATIONAL DO BRASIL CONSULTORIA;02.636.857/0001-28;RUA DAS OLIMPÍADAS Nº 205 1º ANDAR;(11)3323-0001
16.915.868/0001-51;2019-12-01;1;-;-;-;-
16.924.913/0001-34;2019-06-01;1;Itaú Unibanco S/A;60.701.190/0001-04;Praça Alfredo Egydio de Souza Aranha, 100 - São Paulo - SP - CEP:04344-902;0800 728 0728
17.098.794/0001-70;2019-12-01;1;Rio Bravo Investimentos LTDA.;03.864.607/0001-08;Av. Chedid Jafet, nº 222, Bloco B, 3º andar - Vila Olímpia - São Paulo/SP - Cep nº 04551-065;(11) 3509 6600
17.161.979/0001-82;2019-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
17.161.979/0001-82;2019-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
18.570.740/0001-29;2019-12-01;2;Consultor jurídico:  MAZZOTINI ADVOGADOS ASSOCIADOS;03.838.113/0001-59;Avenida Paulista, nº 1.439, 4º andar São Paulo/SP;
20.680.775/0001-62;2019-12-01;1;CBRE CONSULTORIA DO BRASIL LTDA;51718575000185;AV DAS NACOES UNIDAS, 14171, Andar 18, Vila Gertrudes, São Paulo, SP - 04.794-000;(11) 5185-4688
22.211.522/0001-75;2019-12-01;1;-;-;-;-
26.195.121/0001-20;2019-12-01;1;Souza Cescon Barrieu FB. Soc Advogados;10687865000121;Rua Funchal, 418 - 11º na. S.Paulo - SP;11-3089.6500
26.195.121/0001-20;2019-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
26.195.121/0001-20;2019-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
26.195.121/0001-20;2019-12-01;1;Advocacia Cunha Ferraz;87906000195;Av. Brig Faria Lima, 1461 - 6º andar São Paulo-SP;11-3104.7183
26.614.291/0001-00;2019-06-01;1;ITAÚ CORRETORA DE VALORES S/A;61194353000164;Av. Brig. Faria Lima, 3500 - 3° andar;
26.614.291/0001-00;2019-06-01;1;CM Capital Markets DTVM Ltda;2671743000119;Rua Gomes de Carvalho, 1195 - 4º andar;(11) 3842-1122
26.990.011/0001-50;2019-12-01;1;JJ Chaves Contadores Sociedade Simples Ltda;94154119000162;Roa Dona Laura, 414 - Porto Alegre - RS;51-3388.3677
26.990.011/0001-50;2019-12-01;1;Itaú Corretora de Valores S/A;61194353000164;Av Brig Faria Lima 3400 10º and. São Paulo - SP;11-2740.2575
28.693.595/0001-27;2019-12-01;1;N/A;0;N/A;N/A
28.830.325/0001-10;2019-06-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59281253000123;Praia de Botafogo, nº 501 - 5º andar parte -Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
29.467.977/0001-03;2019-06-01;1;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM;59.281.253/0001-23;Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro;(11) 3383-2000
29.467.977/0001-03;2019-06-01;1;OLIVEIRA TRUST DTVM;36.113.876/0001-91;Av. das Américas, nº 3.434, bloco 07, sala 201, cidade do Rio de Janeiro, Estado do Rio de Janeiro;(21) 3514-0000
30.492.505/0001-81;2019-12-01;1;ITAU CORRETORA DE VALORES S/A;61194353000164;AV. BRIG. FARIA LIMA, 3400 - 10º ANDAR - SÃO PAULO/SP;(11) 2740-2575
31.547.855/0001-60;2019-12-01;1;VINCI GESTORA DE RECURSOS LTDA;11.077.576/0001-73;Avenida Bartolomeu Mitre nº 336, 5º andar, parte, Leblon, Rio de Janeiro;(11) 3572-3700
31.887.401/0001-39;2019-12-01;2;Rio Bravo Investimentos LTDA.;03.864.607/0001-08;Av. Chedid Jafet, nº 222, Bloco B, 3º andar - Vila Olímpia - São Paulo/SP - Cep nº 04551-065;(11) 3509 6600
32.667.306/0001-92;2019-06-01;1;Miguel Neto Advogados;38.886.685/0001-98;Rua Fidêncio Ramos, 308 - 2º andar - Torre A, Vila Olímpia, São Paulo, SP;(11) 5502 1200
32.903.521/0001-45;2019-12-01;1;ITAU CORRETORA DE VALORES S/A ( Escriturador );61.194.353/0001-64;Rua Santa Virginia, 299,CEP: 03084-010 São Paulo - SP;(11) 2740-2906
32.903.702/0001-71;2019-12-01;1;ITAU CORRETORA DE VALORES S/A ( Escriturador );61.194.353/0001-64;Rua Santa Virginia, 299,CEP: 03084-010 São Paulo - SP;(11) 2740-2906
35.360.651/0001-77;2019-12-01;2;OPPORTUNITY MÉTRICA LTDA;29.839.743/0001-31;Avenida Presidente Wilson, nº 231, 28º andar, parte, Centro, Rio de Janeiro /RJ;(11) 3039-1200
