CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2016-11-01;1;2988637.26;1168987.34;0;0;1819649.92;455467638.88;455467638.88;0;454853881;0;0;0;613757.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4250681.69;3675956.81;0;574724.88;272876.07;57680.7;0;0;0;244767.05;0;0;3556.23;580600.08;1159480.13
00.332.266/0001-31;2016-12-01;1;2354740.45;2179590.46;0;0;175149.99;455660422.85;455660422.85;0;455050784.59;0;0;0;609638.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5608915.55;5196269.45;0;412646.1;1430035.92;57680.7;0;0;0;258164.36;0;0;603.22;601518.1;2348002.3
00.613.094/0001-74;2016-10-01;1;39430.13;39430.13;0;0;0;10367789.2;10367789.2;10367789.2;;;;;;;;;;;;;;;;;;;;;;;;;177506232.87;;168750446.47;8755786.4;;;;;;;;;;5036866.85;5036866.85
00.613.094/0001-74;2016-11-01;1;4041.87;4041.87;0;0;0;10367789.2;10367789.2;10367789.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177245693.62;0;168696532.6;8549161.02;0;0;0;0;0;0;0;0;0;4820555.35;4820555.35
00.613.094/0001-74;2016-12-01;1;500;500;0;0;0;10294376.82;10294376.82;10294376.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177820308.43;0;169373384.97;8446923.46;0;0;0;0;0;0;0;0;0;4320439.18;4320439.18
00.762.723/0001-28;2016-11-01;1;1183273.28;6434.41;0;0;1176838.87;120000000;120000000;0;120000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2292135.64;1525937.77;0;766197.87;1172971.1;26684.91;0;0;0;0;0;0;0;0;1199656.01
00.762.723/0001-28;2016-12-01;1;1264104.27;7251.38;0;0;1256852.89;120000000;120000000;0;120000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2296962.28;1523803.84;0;773158.44;1209326.35;27018.26;0;0;0;4926.8;0;0;0;0;1241271.41
00.868.235/0001-08;2016-11-01;1;1748697.06;456877.69;0;0;1291819.37;99490000;99490000;0;99490000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1321649.53;818654.22;0;502995.31;361284.49;21435.93;0;0;0;0;0;0;0;131931.35;514651.77
00.868.235/0001-08;2016-12-01;1;1713751.71;488101.78;0;0;1225649.93;99457300;99457300;0;99457300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1442243.33;762724.44;0;679518.89;499034.98;21435.93;0;0;0;2259.61;0;0;0;113809.84;636540.36
01.201.140/0001-90;2016-11-01;2;7020424.85;748739.13;0;0;6271685.72;674020112;674020112;0;674020112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7299458.45;5911794.08;0;1387664.37;6917025.12;58255.47;0;0;0;1699434.74;0;0;0;212512.47;8887227.8
01.201.140/0001-90;2016-12-01;2;7349948.95;556813.79;0;0;6793135.16;674020112;674020112;0;674020112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10570311.91;9330432.37;0;1239879.54;10670729.24;56364.11;0;0;0;1520952.21;0;0;37418.03;213602.53;12499066.12
01.235.622/0001-61;2016-12-01;2;183111202.38;1150307.3;0;0;181960895.08;1313463502.89;982117770.89;161210375.44;641794741.05;69041695.52;7111459.09;102506616.08;452883.71;254182815.19;0;0;0;0;0;0;77083004.63;0;0;0;0;0;0;0;0;0;0;79912.18;595766416.32;14639559.59;568372871.82;12753984.91;0;1000202.22;0;38149584;6780201.65;0;0;0;1723495.94;23071684.27;70725168.08
01.356.517/0001-80;2016-11-01;1;30572427.7;468714.64;;;30103713.06;211035105.52;211035105.52;38723983.09;172311122.43;;;;;;;;;;;;;;;;;;;;;;;;11908443.88;9077974.1;2252471.46;577998.32;93010517.34;;;604373.47;;1733279.98;;;;433794.04;95781964.83
01.356.517/0001-80;2016-12-01;1;36202135.46;516859.46;;;35685276;211061771.11;211061771.11;38758989.81;172302781.3;;;;;;;;;;;;;;;;;;;;;;;;11387809.4;9086895.21;1993246.93;307667.26;120063675.33;;;604373.47;;1750966.13;;;;7078443.03;129497457.96
