CNPJ_Fundo;Data_Referencia;Versao;Endereco;Data_Alienacao;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
13.598.226/0001-88;2024-06-30;1;AV VEREADOR JOAO DE LUCA, 749;2024-04-10;244.2;ID 337 MATRICULA 76.709;1;0.0113
16.915.968/0001-88;2024-06-28;1;Av. Paes de Barros, 455, Alto da Mooca, São Paulo - SP;2024-05-21;1090.76;Não possui;0.233022;0.007927
16.915.968/0001-88;2024-06-28;1;Av. Adélia Chohfi, 90 - Jardim Vera Cruz, São Paulo - SP;2024-05-15;1920;Não possui;0.238988736901023;0.01081
18.950.957/0001-64;2024-03-28;1;Avenida Getúlio Vargas - Brusque - SC;2024-03-20;780;Terreno;0.0064;0.001
24.796.967/0001-90;2024-03-31;1;Não possui informação apresentada.;;;;;
24.796.967/0001-90;2024-06-30;2;Não possui informação apresentada.;;;;;
34.693.040/0001-88;2024-03-28;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2024-02-26;3033.94;Nenhuma característica relevante;0.293319;0.283039
34.693.040/0001-88;2024-03-28;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2024-02-19;3776.88;Nenhuma característica relevante;0.379576;0.536642
34.693.040/0001-88;2024-03-28;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2024-03-11;3690.32;Nenhuma característica relevante;0.53864;0.506829
34.693.040/0001-88;2024-03-28;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2024-01-15;3374.23;Nenhuma característica relevante;0.228953;0.457935
34.693.040/0001-88;2024-03-28;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2024-01-15;3149.41;Nenhuma característica relevante;0.2057;0.411426
34.693.040/0001-88;2024-06-28;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2024-05-08;3002.4;Nenhuma característica relevante;0;0
34.693.040/0001-88;2024-06-28;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2024-06-03;3162.53;Nenhuma característica relevante;0;0
34.693.040/0001-88;2024-06-28;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2024-06-03;3213.96;Nenhuma característica relevante;0;0
34.693.040/0001-88;2024-06-28;1;Rod. Alkindar Monteiro Junqueira Km 33,5;2024-06-03;3209.83;Nenhuma característica relevante;0;0
40.054.838/0001-82;2024-03-31;1;Não possui informação apresentada.;;;;;
44.584.965/0001-44;2024-06-30;1;Rua Jose Nobre s/n Vila Maria;2024-05-21;215.75;35,70;0;1.1693
