CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2017-01-01;1;2299064.35;1108803.16;0;0;1190261.19;455669598.78;455669598.78;0;455070860.14;0;0;0;598738.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4311737.79;3874091.45;0;437646.34;218218.58;57680.7;0;0;0;180306.67;0;0;603.22;643403.42;1100212.59
00.332.266/0001-31;2017-02-01;1;2934022.42;2297218.63;0;0;636803.79;456009262.06;456009262.06;0;455421423.04;0;0;0;587839.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4247342.91;3521572.39;0;725770.52;111243.24;57680.7;0;0;0;50332.52;0;0;603.22;657841.48;877701.16
00.332.266/0001-31;2017-03-01;1;4126314;1348196.02;0;0;2778117.98;455998362.44;455998362.44;0;455421423.04;0;0;0;576939.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4454840.19;3643292.41;0;811547.78;103164.92;57925.34;0;0;0;35026.8;0;0;603.22;659212.12;855932.4
00.332.266/0001-31;2017-04-01;1;3104598.8;2165085.51;0;0;939513.29;456415227.76;456415227.76;0;454853881;0;0;0;1561346.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3818114.36;3236535.76;0;581578.6;229395.21;57680.7;0;0;0;45505.42;0;0;603.22;751960.8;1085145.35
00.332.266/0001-31;2017-05-01;1;2173488.53;775023.29;0;0;1398465.24;457229777.16;457229777.16;0;454853881;0;0;0;2375896.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4171524.24;3317130.86;0;854393.38;259048.92;57680.7;0;0;0;169685.98;0;0;603.22;714260.33;1201279.15
00.332.266/0001-31;2017-06-01;1;2510224.05;1843224.05;0;0;667000;457321268.52;457321268.52;0;454853881;1923146.98;0;0;544240.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4502445.54;3740186.76;0;762258.78;891947.71;57680.7;0;0;0;85858.47;0;0;603.22;635887.05;1671977.15
00.332.266/0001-31;2017-07-01;1;4313832.18;598702.08;0;0;3715130.1;457764546.14;457764546.14;0;454853881;2377324.22;0;0;533340.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3798416.32;3130542.56;0;667873.76;258226.72;57680.7;0;0;0;214807.56;0;0;603.22;592288.14;1123606.34
00.332.266/0001-31;2017-08-01;1;2626815.25;772148.83;0;0;1854666.42;460155392.22;460155392.22;0;454853881;4779069.92;0;0;522441.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3948717.6;3479724.81;0;468992.79;236051.99;57680.69;0;0;0;123569.87;0;0;603.22;463191.1;881096.87
00.332.266/0001-31;2017-09-01;1;3530332.24;232042.73;0;0;3298289.51;461593484.66;461593484.66;0;454853881;6228061.98;0;0;511541.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4319405.99;3821267.68;0;498138.31;135650.4;57680.68;0;0;0;245384.2;0;0;603.22;260874.63;700193.13
00.332.266/0001-31;2017-10-01;1;3949998.82;439553.58;0;0;3510445.24;463170624.83;463170624.83;0;454853881;7816101.77;0;0;500642.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4438403.08;3988227.41;0;450175.67;127616.99;57680.68;0;0;0;84370.54;0;0;603.22;311617.1;581888.53
00.332.266/0001-31;2017-11-01;2;3231600.74;176448.02;0;0;3055152.72;464604103.09;464604103.09;0;454853881;9260479.65;0;0;489742.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4388097.1;4005955.11;0;382141.99;294109.9;57680.68;0;0;0;28319.33;0;0;603.22;407974.57;788687.7
00.332.266/0001-31;2017-12-01;2;2759062.34;1955465.16;0;0;803597.18;475805842.82;475805842.82;0;475327000;0;0;0;478842.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5987680.6;5610966.43;0;376714.17;731237.19;57680.68;0;0;0;0;0;0;603.22;215182.64;1004703.73
00.613.094/0001-74;2017-01-01;1;142169.75;142169.75;0;0;0;10294376.82;10294376.82;10294376.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178543443.87;0;170151630.84;8391813.03;0;0;0;0;0;0;0;0;0;4465974.42;4465974.42
00.613.094/0001-74;2017-02-01;1;44036.16;44036.16;0;0;0;10294376.82;10294376.82;10294376.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178575720.93;0;170250933.23;8324787.7;0;0;0;0;0;0;0;0;0;4452099.34;4452099.34
00.613.094/0001-74;2017-03-01;1;163751.62;163751.62;0;0;0;10294376.82;10294376.82;10294376.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178336041.78;0;170274531.54;8061510.24;0;0;0;0;0;0;0;0;0;4437427.32;4437427.32
00.613.094/0001-74;2017-04-01;1;138322.69;138322.69;0;0;0;10294376.82;10294376.82;10294376.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176521597.51;0;168658932.68;7862664.83;0;0;0;0;0;0;0;0;0;4426496.25;4426496.25
