CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2019-01-01;1;10745717.08;1862828.31;0;0;8882888.77;508115222.49;508115222.49;0;506005000;1773074.73;0;0;337147.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;4355458.79;4080064.39;0;275394.4;5191322.04;88329.31;0;0;441736.63;0;0;0;13363.64;566341.24;6301092.86
00.332.266/0001-31;2019-02-01;1;9130596.82;52369.54;0;0;9078227.28;508240658.53;508240658.53;0;506005000;1905962.29;0;0;329696.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;5298760.04;3775130.33;0;1523629.71;4281741.34;66140.59;0;0;436314.6;0;0;0;13363.64;617629.78;5415189.95
00.332.266/0001-31;2019-03-01;1;7194305.67;976690.56;0;0;6217615.11;508640281.85;508640281.85;0;506005000;2316515.21;0;0;318766.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;5411247.91;3866982.98;0;1544264.93;1706637;39415.24;0;0;236508.5;0;0;0;13363.64;573475.41;2569399.79
00.332.266/0001-31;2019-04-01;1;8376147.91;120947.41;0;0;8255200.5;508928750.71;508928750.71;0;506005000;2615913.67;0;0;307837.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;5316486.44;3760384.68;0;1556101.76;2755258.57;62432;0;0;122257.65;0;0;0;13363.64;662130.83;3615442.69
00.332.266/0001-31;2019-05-01;1;7959748.79;79850.11;0;0;7879898.68;509527261.3;509527261.3;0;506005000;3225353.86;0;0;296907.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;5412597.16;3846619.1;0;1565978.06;2722330.07;64998.5;0;0;0;0;0;0;13363.64;508210.61;3308902.82
00.332.266/0001-31;2019-06-01;1;16265548.04;73986.91;0;0;16191561.13;509718419.08;509718419.08;0;506005000;3427441.24;0;0;285977.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;5382488.67;3822654.46;0;1559834.21;6150326.26;64901.67;0;0;0;0;0;0;13363.64;572292.91;6800884.48
00.332.266/0001-31;2019-07-01;1;11791015.05;636468.24;0;0;11154546.81;510978276.68;510978276.68;0;506198866.62;4695805.11;0;0;83604.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;5553055.63;4031960.49;0;1521095.14;2613900.3;67098.62;0;0;0;0;0;0;13363.64;733097.56;3427460.12
00.332.266/0001-31;2019-08-01;1;11349921.23;155802.99;0;0;11194118.24;511567087.62;511567087.62;0;506273965.3;5293122.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;5406637.22;3975591.98;0;1431045.24;1531281.66;70295.57;0;0;0;0;0;0;13363.64;630642.61;2245583.48
00.332.266/0001-31;2019-09-01;1;12572821.22;65796.23;0;0;12507024.99;512009362.54;512009362.54;0;506273965.3;5735397.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;5444392.93;3962052.19;0;1482340.74;3729157.66;62432;0;0;0;0;0;0;25954.49;545415.31;4362959.46
00.332.266/0001-31;2019-10-01;1;11251056.01;180283.34;0;0;11070772.67;512535890.8;512535890.8;0;506273965.3;6261925.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;5812018.06;4335937.99;0;1476080.07;2828331.27;64040.34;0;0;0;0;0;0;105923.73;658858.62;3657153.96
