CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
00.332.266/0001-31;2018-01-01;1;2018-02-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2652895;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.332.266/0001-31;2018-02-01;2;2018-03-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2683434;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.332.266/0001-31;2018-03-01;1;2018-04-10;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2683434;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.332.266/0001-31;2018-04-01;1;2018-05-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2683434;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.332.266/0001-31;2018-05-01;2;2018-06-19;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2684142;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.332.266/0001-31;2018-06-01;1;2018-07-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2691901;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.332.266/0001-31;2018-07-01;2;2018-09-24;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2700843;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.332.266/0001-31;2018-08-01;3;2018-09-24;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2713247;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.332.266/0001-31;2018-09-01;1;2018-10-15;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2732609;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
00.332.266/0001-31;2018-10-01;1;2018-11-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2737722;N;N;Renda;Shoppings;Passiva;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;BLOCO B - 3ª ANDAR;VILA OLÍMPIA;SÃO PAULO;SP;045551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br
