CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
07.789.135/0001-27;2024-06-30;1;NAT - NATAL SHOPPING;Av. Senador Salgado Filho, nº 2.234 - Candelária - Natal/Rio Grande do Norte;1;1;Através de redução de capital parcial da SPE Mônaco Participações S.A. ocorrida em 31/01/2024 e efetivada em 05/2024 - 55% do Natal Shoppong Center;0.0196;Renda
07.789.135/0001-27;2024-06-30;1;NSF - NORTH SHOPPING FORTALEZA;Av. Bezerra de Menezes, 2450 - Presidente Kennedy - Fortaleza - CE;1;1;Através de redução de capital parcial da CE Shopping S.A. ocorrida em 29/02/2024 e efetivada em 05/2024 - 100% do North Shoppong Fortaleza;0.142;Renda
08.431.747/0001-06;2024-06-30;1;SHOPPING JARDIM SUL - 50%;Av. Giovanni Gronchi, 5819, Morumbi, São Paulo - SP;28739.03;173;-;0.0898;Renda
08.706.065/0001-69;2024-06-30;1;Ibis Ibirapuera;Avenida Santo Amaro, 1411, Vila Nova Conceição, São Paulo/SP, Brasil, 04506-000;796.34;40;Direito de Propriedade;0.06180484267137;Renda
10.456.799/0001-89;2024-03-31;2;Terreno;São Leopoldo-RS, Bairro Morro do Espelho, lotes 03, 04 e 05 da quadra 556 no quarteirão formado pelas Ruas Raimundo Corrêa e Dietrich Hilbk, Avenida Mauá e propriedade de Industrial Japs Ltda.;1302.12;3;Terreno;0.027412;Renda
11.179.118/0001-45;2024-03-31;1;Anhanguera Educacional - Valinhos 2;Alameda Maria Tereza, 2000, Dois Córregos, Dois Córregos, Valinhos/SP, Brasil, 13278-181;7700;1;Não possui caracteristicas que destoem dos demais;0.04573289583257;Renda
11.728.688/0001-47;2024-06-30;1;Aquisição Syslog Galeão - 49%;Parque Duque, Duque de Caxias - RJ, 25085-009;27946.44;1;-;0.015236;Renda
11.769.604/0001-13;2024-03-31;1;Parque Shopping Barueri;R. Gen. de Divisão Pedro Rodrigues da Silva, 400 - Aldeia, Barueri - SP, 06440-180;38438;162;Fração ideal do imóvel detida pelo Fundo está cedida em alienação fiduciária em favor dos detentores do CRI;0.312;Renda
11.769.604/0001-13;2024-06-30;1;Parque Shopping Barueri;R. Gen. de Divisão Pedro Rodrigues da Silva, 400 - Aldeia, Barueri - SP, 06440-180;38438;162;Fração ideal do imóvel detida pelo Fundo está cedida em alienação fiduciária em favor dos detentores do CRI;0.312;Renda
13.320.290/0001-00;2024-03-28;1;HANGAR;Av Luis Viana Filho, nº 13.223, São Cristovão- Salvador BA - Torre 4 - Sala 711 a 715;207.54;5;2º Registro de Imóveis de Salvador - BA Matricula 182.520 / 182.521 / 182.522 / 182.523 / 182.524;0.005281;Renda
13.320.290/0001-00;2024-06-30;1;Fazendo Saco da Barauna Grande;Propriedade rural denominada "SACO DA BARAUNA GRANDE" no município de carnaúba dos Dantas/RN;2331029.0527;1;Propriedade denominada fazenda Saco da Baraúna Grande  - Matrícula Nc 1.709;1;Renda
13.598.226/0001-88;2024-03-31;1;NOVA YORK;RUA NOVA YORK 833;1500;1;ID 99 - MATRICULA 273.992;1;Venda
13.598.226/0001-88;2024-06-30;1;ID 338;RUA DO HIPODROMO, 600;4540;1;MATRICULA 125.042;1;Venda
13.598.226/0001-88;2024-06-30;1;ID 36;RUA BARRA FUNDA, 930;20055.5;1;MATRICULA 141.051;1;Venda
17.554.274/0001-25;2024-03-28;1;Plaza Sul Shopping;Praça Leonor Kaupa, 100 - Jardim da Saude, São Paulo - SP;28050;285;Área total construida 28.050 m²;0;Renda
17.554.274/0001-25;2024-06-30;1;Plaza Sul;Praça Leonor Kaupa, 100 - Jardim da Saúde, São Paulo - SP;23500;207;Área total contruida 26.870 m²;0.027956;Renda
17.554.274/0001-25;2024-06-30;1;Carioca Shopping;Av Vicente de Carvalho, 909 - Vila da Penha - RJ;33918;212;Área total construida 33.918 m²;0.073691;Renda
17.554.274/0001-25;2024-06-30;1;Villagio Caxias;Rodovia RSC 453, 2780 - Desvio Rizzo, Caixas do Sul - RS;29685;132;Área total contruida 29.685 m²;0.040938;Renda
17.554.274/0001-25;2024-06-30;1;Shopping Bangu;Rua Fonseca, 240 - Bangu, Rio de Janeiro - RJ;57982;200;Área total contruida 57.982 m²;0.038212;Renda
19.722.048/0001-31;2024-03-31;1;Não possui informação apresentada.;;;;;;
19.872.887/0001-36;2024-03-31;1;Imovel Vila Mascote - Escola;Rua Gustavo Da Silveira - Ate 946 - Lado Par, 164, Vila Santa Catarina, São Paulo/SP, Brasil, 04376-004;1000;1;Direito de Propriedade;0.08403469006521;Renda
20.680.775/0001-62;2024-06-30;1;Subcondominio Parque Jockey Corporate;Rua Bento Frias, 155, Sem Complemento, Pinheiros, São Paulo/SP, Brasil, 05423-050;1260.02;1;Direito de Propriedade;0.00340281558231;Renda
20.680.775/0001-62;2024-06-30;1;Condominio P-11 Pinheiros;Rua Dos Pinheiros, 603, 607, 619 E 623, E Rua Auriflama, Nºs 67, 87 E 91, Pinheiros, São Paulo/SP, Brasil, 05422-012;501;3;Direito de Propriedade;0.00251296385289;Renda
24.796.967/0001-90;2024-03-31;1;Não possui informação apresentada.;;;;;;
24.796.967/0001-90;2024-06-30;2;Não possui informação apresentada.;;;;;;
26.499.833/0001-32;2024-03-31;1;Caxias Shopping;Rodovia Washington Luiz, nº 2.895, Parque Duque,Duque de Caxias - RJ;0;0;fração ideal de 17,5%;0.175;Renda
26.502.794/0001-85;2024-06-30;1;REC GRAVATA_;Rodovia RS118, km 11, Gravataí - RS;105270.92;1;Matrícula 95.965;0.49;Renda
26.681.370/0001-25;2024-03-31;1;Salas Comerciais - FL 1355;Avenida Brigadeiro Faria Lima, 1355 - 6º ao 10º andares - Jardim Paulistano - São Paulo - SP;4757.4;10;Matrícula 38.461;0;Renda
26.681.370/0001-25;2024-06-30;1;Edifício GPA;Av. Brigadeiro. Luís Antônio, nº 3.172 x Al. Lorena- Jardim Paulista - São Paulo - SP;11224.79;1;N/A;0;Renda
28.267.696/0001-36;2024-03-31;1;Total Ville Planaltina;Brasilia, Quadra 24, Módulo 1, Setor Habitacional Mestre D'armas (planaltina), Brasília/DF, Brasil, 00073-405;7510.47;1;Direito de propriedade.;0.07970158853779;Renda
30.178.506/0001-56;2024-03-31;1;BARRA DO BUG;Rod. MT 247, Barra a Lambari - Barra do Bugres - MT;12500;1;n/a;0;Renda
30.178.506/0001-56;2024-03-31;1;PIRAPOZINHO;Rod. Assis Chateaubriand, km 476 - Presidente Epitácio - SP;120000;1;n/a;0;Renda
30.178.506/0001-56;2024-03-31;1;FAZENDA BANDEIRANTES;Presidente Epitácio - SP;1;1;n/a;0;Venda
30.178.506/0001-56;2024-03-31;1;PRES PRUDENT;José de Sales Macuci, 215, Lote 008 e 009, quadra A - SP;1840;1;n/a;0;Venda
30.492.505/0001-81;2024-06-30;1;Imóvel Dona Mariana;Rua Dona Mariana, nº 63, Botafogo - Rio de Janeiro - RJ;1161.6;1;Prédio de 2 pavimentos e domínio útil de terreno medindo: 66m de comprimento e 17,60 de frente e fundos. Terreno com área de 1.161,60.  Objeto da matrícula 0045301 do 3° Ofício de Registro de Imóveis da Comarca do Rio de Janeiro - RJ;0.173248;Venda
30.492.505/0001-81;2024-06-30;1;Imóvel Jornalista Henrique Cordeiro;Rua Jornalista Henrique Cordeiro, nº 200, Barra da Tijuca - Rio de Janeiro - RJ;2560;1;Lote 2 do PAL 49230 situado na Rua Jornalista Henrique Cordeiro, lado par. Área de terreno: 2.560m². Objeto da matrícula 476786 do 9° Ofício de Registro de Imóveis da Comarca do Rio de Janeiro - RJ;0.213617825524719;Venda
30.492.505/0001-81;2024-06-30;1;Imóvel Prof. Pereira Reis;Rua Professor Pereira Reis, nº 119, Santo Cristo - Rio de Janeiro - RJ;1869.86;1;Prédio e domínio útil de terreno. Área do terreno=1.869,86. Objeto da matrícula 19771 do 2° Ofício de Registro de Imóveis da Comarca do Rio de Janeiro - RJ;0.084552;Venda
30.567.216/0001-02;2024-03-31;1;Edifício Wilson Mendes Caldeira;Av. das Nações Unidas, 10.989;559.89;1;Cj. 82;0.379611;Renda
30.567.216/0001-02;2024-03-31;1;Edifício Ronaldo Sampaio;Praça João Duran Alonso, 34;380.785;1;Cj. 42;0.348516;Renda
30.567.216/0001-02;2024-03-31;1;Edifício Business Center;Rua Teixeira da Silva, 650/660;257.39;2;Cjs. 133 e 134;0.10491;Renda
30.567.216/0001-02;2024-03-31;1;Edifício The Taj;Rua Casa do Ator, 1117;101.77;1;Cjs. 112;0.166963;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Francisco Lopes;Avenida Doutor Cardoso de Melo, 1855;769.62;2;Cj. 11 e 12 e Box do Cj. Manager Center, à R. Dr. Cardoso de Mello, esquina da Rua Funchal, sendo: Box 145 a 147 do 1º subsolo e Box 136 a 146 do 2º subsolo;0.096005;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Monumento;Avenida Brigadeiro Faria Lima, 1478;312.88;8;cjs. 801 a 808;0.097348;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Setin Tower;Rua Fidêncio Ramos, 100;515.29;1;cj. 17;0.168361;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Naur Martins;Rua Professor Artur Ramos, 96;398.12;2;cj. 51 e 52;0.113003;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Gold Center;Rua Arizona, 1426;484.65;3;Cj. 21, 22 e 32;0.141749;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Trade Tower e Business;Rua Helena, 218;532.88;12;cjs.301 a 312 e vagas de garagem cobertas, nº 47 a 58;0.156088;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Florida;Rua Florida, 1738;350.06;2;cjs.11 e 12;0.086914;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Brasif;Rua Luigi Galvani, 146;216.5;1;Cj. 11;0.080096;Renda
30.567.216/0001-02;2024-06-30;1;Ed. Veranda Berrini Gran Estan - Veranda Loft Office Service;Rua Ribeiro do Vale, 152;184.19;3;cjs. 71, 72 e 77;0.060436;Renda
30.846.692/0001-54;2024-03-31;1;MAT 114.633;AV. MARACANÃ 1350;143;1;TÉRREO E 1º PAVIMENTO;0.005355;Renda
30.846.692/0001-54;2024-03-31;1;MAT 114.634;AV. MARACANÃ 1354;176;1;TÉRREO E 1º PAVIMENTO;0.006255;Renda
30.846.692/0001-54;2024-03-31;1;MAT 77322;RUA URUGUAI 351 - TIJUCA - RJ;305.55;1;LOJA;0.022289;Renda
30.846.692/0001-54;2024-06-30;1;MAT 13.628;PRACA SAENS PENA 55;201;1;LOJA A;0.16929;Renda
35.652.102/0001-76;2024-03-31;2;Condominio Edificio Vera Cruz II;Rua Elvira Ferraz, 68, Sem Complemento, Vila Olímpia, São Paulo/SP, Brasil, 04552-040;21847.16;8;Não possui caracteristicas que destoem dos demais;0.149081;Renda
35.652.102/0001-76;2024-06-30;1;Edificio Cidade Jardim;Avenida Cidade Jardim, 803, Sem Complemento, Itaim Bibi, Sao Paulo/SP, Brasil, 01453-000;6157;8;Não possui caracteristicas que destoem dos demais;0.09746735945803;Renda
35.652.174/0001-13;2024-03-31;1;Kalea Jardins;Rua Da Consolacao, 3290, Sem Complemento, Cerqueira César, São Paulo/SP, Brasil, 01416-000;1843.65;1;Direito de Propriedade;0.57097530040245;Venda
36.501.159/0001-37;2024-03-31;2;IMÓVEL CAUCAIA;Rodovia BR-222, n.º 7.100, entre Km. 04 e 05, Tabapuã - Caucaia/CE;43367.94;1;Imóvel Urbano Para Fins Não Residenciais (direito de uso da superfície);1;Renda
36.885.948/0001-19;2024-06-28;1;IMÓVEL IGUATEMI;Rua Viradouro nº 120, Jd Paulista;387.637;1;imovel;1;Renda
40.011.234/0001-59;2024-06-30;1;Imovel Vila Mariana;Avenida Conselheiro Rodrigues Alves, 923, Sem Complemento, Vila Mariana, São Paulo/SP, Brasil, 04014-012;1901;1;Direito de Propriedade;0.20919046668225;Renda
40.011.234/0001-59;2024-06-30;1;Imovel Campo Belo;Rua Antonio De Macedo Soares, 1544, Sem Complemento, Campo Belo, São Paulo/SP, Brasil, 04607-003;1403;1;Direito de Propriedade;0.16925468411663;Renda
40.054.838/0001-82;2024-03-31;1;225930;Rua Itacema 291 - 41;137;1;Apartamento para venda;0.0243560108286845;Venda
40.886.241/0001-02;2024-03-31;1;Loja de Rua - Bernardo Manuel nº 207;Avenida Bernardo Manuel - Ate 7801 - Lado Impar, 207, Sem Complemento, Serrinha, Fortaleza/CE, Brasil, 60741-605;235.5;1;Direito de Propriedade;0.00191774669376;Renda
40.886.241/0001-02;2024-03-31;1;Loja de Rua - Bezerra de Menezes nº 1409;Avenida Bezerra De Menezes, 1409, Sem Complemento, Parquelandia, Fortaleza/CE, Brasil, 60325-004;292.45;1;Direito de Propriedade;0.00246283157942;Renda
40.886.241/0001-02;2024-03-31;1;Strip Mall Lago Jacarey;Avenida Pedro Lazar, 877, Sem Complemento, Cambeba, Fortaleza/CE, Brasil, 60822-240;2593.66;7;Direito de Propriedade;0.02771207245888;Renda
40.886.521/0001-02;2024-03-28;1;Parque Jockey- FASE 2;Rua Bento Frias, 155 - Cidade Jardim, São Paulo-SP;1955.6;20;Direito de propriedade;0;Renda
40.886.521/0001-02;2024-06-30;1;Parque Jockey- FASE 2;Rua Bento Frias, 155 - Cidade Jardim, São Paulo-SP;1955.6;20;Direito de propriedade;0;Renda
41.088.458/0001-21;2024-03-31;1;Kalea Jardins;Rua Da Consolacao, 3290, Sem Complemento, Cerqueira César, São Paulo/SP, Brasil, 01416-000;1843.65;1;Direito de Propriedade;0.08534914553166;Venda
41.820.693/0001-46;2024-03-31;2;SHOPPING VILAMARIANA;Rua Pelotas, 83 - São Paulo - SP;0;1;-;;
41.820.693/0001-46;2024-06-30;1;SHOPPING VILAMARIANA;Rua Pelotas, 83 - São Paulo - SP;;;-;;
42.517.145/0001-04;2024-03-31;1;AUTO POSTO ML;Rua Francisco Palheta, Freguesia de São Cristóvão - Rio de Janeiro - RJ;6500;1;-;1;Renda
42.517.145/0001-04;2024-06-30;1;AUTO POSTO ML;Rua Francisco Palheta, Freguesia de São Cristóvão - Rio de Janeiro - RJ;6500;1;-;1;Renda
42.517.145/0001-04;2024-09-30;1;AUTO POSTO ML;Rua Francisco Palheta, Freguesia de São Cristóvão - Rio de Janeiro - RJ;6500;1;-;1;Renda
42.754.342/0001-47;2024-03-28;1;São Luiz;Avenida Presidente Juscelino Kubitschek, 1.830, São Paulo - SP;13187.02;14;Proprietário de 14 conjuntos distribuídos entre as Torres I, II e III;0.11;Renda
42.754.342/0001-47;2024-06-28;1;Edifício HL Faria Lima;Avenida Horácio Lafer, 160, São Paulo - SP;3162.918;14;Proprietário de 14 conjuntos;0.0718;Renda
43.617.702/0001-21;2024-06-30;1;REGENTSPARK  - CONJUNTO 82;Av. Brigadeiro Faria Lima, 1544 - Conjunto 82;153;1;Matricula 1.520 - 13º Registro de Imoveis de São Paulo;1;Renda
43.617.702/0001-21;2024-06-30;1;REGENTSPARK  - CONJUNTO 92;Av. Brigadeiro Faria Lima, 1544 - Conjunto 92;153;1;Matricula 1.520 - 13º Registro de Imoveis de São Paulo;1;Renda
44.002.561/0001-03;2024-03-31;1;MT16508;Av Imigrantes;21200;1;Matricula 16.508;1;Renda
44.002.561/0001-03;2024-03-31;1;MT286460;R C L Carlucci;23402.9;1;Matricula 286.460;1;Renda
44.002.561/0001-03;2024-03-31;1;MT30499;Av F A Cabrera;18000;1;Matricula 30.499;1;Renda
44.002.561/0001-03;2024-06-30;1;MT14277;Av. Tupi, 3233 - Pato Branco, PR;6217.54;1;Matrícula 14.277;1;Renda
44.669.674/0001-59;2024-03-31;1;Fashion Outlet;Av. Pedro I, E800, Itaim, Taubaté - SP.;2024670;1;Matrícula 156802;;Renda
44.669.674/0001-59;2024-03-31;1;Tatuapé 235759;Rua Visconde de Itaboraí, 90 - Vila Azevedo - São Paulo-SP - 03308-050;352.12;1;Matricula 235759;0;Renda
44.669.674/0001-59;2024-03-31;1;Tatuapé 48169;Rua Visconde de Itaboraí, 90 - Vila Azevedo - São Paulo-SP - 03308-050;354;1;Matrícula 48169;0;Renda
44.669.674/0001-59;2024-06-30;1;17086_100;Av. Pedro Celestino Leite Penteado,415. Sítio Taboão, no Bairro dos Cristais, distrito de Jordanésia, Município de Cajamar;11780;1;Matrícula 17086;1;Venda
44.728.520/0001-90;2024-03-28;2;IMÓVEL RUA CUBA;RUA CUBA, 211;600;1;matrícula nº 77.677;0;Renda
46.078.492/0001-39;2024-03-28;1;SUÍTE 1640 CID MATARAZZO;Torre Mata Atlântica do Subcondomínio Hotel de empreendimento denominado Cidade Matarazzo, Alameda Rio Claro, 190, Jardim Paulistana - SP;;1;Matrícula n° 190.798;0;Renda
46.965.606/0001-62;2024-03-28;1;IMÓVEL TUPYNAMBÁS;Rua Delorme Louzada, 32 - Santa Tereza - Juiz de Fora / MG;19243;1;Matrícula 36.476;1;Renda
47.154.849/0001-83;2024-03-28;1;Nex2_30;Av Chácara das Nascentes, s/n;220.4;1;Nenhuma característica relevante;0.000859;Venda
47.154.849/0001-83;2024-03-28;1;Nex8_36;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex11_39;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex12_40;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex14_42;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex15_43;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex17_45;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex20_48;Av Chácara das Nascentes, s/n;229.6;1;Nenhuma característica relevante;0.001185;Venda
47.154.849/0001-83;2024-03-28;1;Nex24_52;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex25_53;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex26_54;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex28_56;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex30_58;Av Chácara das Nascentes, s/n;200;1;Nenhuma característica relevante;0.000933;Venda
47.154.849/0001-83;2024-03-28;1;Nex8_70;Av Chácara das Nascentes, s/n;225;1;Nenhuma característica relevante;0.001185;Venda
47.154.849/0001-83;2024-03-28;1;Nex34_96;Av Chácara das Nascentes, s/n;225;1;Nenhuma característica relevante;0.001185;Venda
