CNPJ_Fundo;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2024-03-31;1;Via Parque Shopping;Comércio;0.816299;0.802213
00.332.266/0001-31;2024-03-31;1;Via Parque Shopping;Serviço;0.183701;0.18053
00.332.266/0001-31;2024-06-30;1;Via Parque Shopping;Comércio;0.697249;0.679161
00.332.266/0001-31;2024-06-30;1;Via Parque Shopping;Serviço;0.302751;0.294897
00.762.723/0001-28;2024-03-31;1;CTI;Serviço;1;0.94864
00.762.723/0001-28;2024-03-31;1;CTI;Comércio;0;0
00.762.723/0001-28;2024-06-30;1;CTI;Serviço;1;0.945985
00.762.723/0001-28;2024-06-30;1;CTI;Comércio;0;0
00.868.235/0001-08;2024-03-31;1;Hotel;Serviço;1;0.013477
00.868.235/0001-08;2024-03-31;1;Medcenter;Serviço;0.916648;0.884024
00.868.235/0001-08;2024-03-31;1;Medcenter;Comércio;0.083352;0.080386
00.868.235/0001-08;2024-06-30;1;Hotel;Serviço;1;0.035902
00.868.235/0001-08;2024-06-30;1;Medcenter;Serviço;0.918246;0.893901
00.868.235/0001-08;2024-06-30;1;Medcenter;Comércio;0.081754;0.079587
01.201.140/0001-90;2024-03-31;1;Grand Plaza Shopping;Comércio;0.751921;0.739504
01.201.140/0001-90;2024-03-31;1;Grand Plaza Shopping;Serviço;0.248079;0.243982
01.201.140/0001-90;2024-06-30;2;Grand Plaza Shopping;Comércio;0.775;0.756579
01.201.140/0001-90;2024-06-30;2;Grand Plaza Shopping;Serviço;0.225;0.219695
01.235.622/0001-61;2024-03-28;1;Av Mem de Sá;DISPONÍVEL;0;0
01.235.622/0001-61;2024-03-28;1;Barão de Mesquita;ENSINO;1;0.015942
01.235.622/0001-61;2024-03-28;1;Cardeal Leme;COMÉRCIO;0.152994;0.00369
01.235.622/0001-61;2024-03-28;1;Cardeal Leme;CONSULTORIA;0;0
01.235.622/0001-61;2024-03-28;1;Cardeal Leme;CONTABILIDADE;0.162905;0.003929
01.235.622/0001-61;2024-03-28;1;Cardeal Leme;ENGENHARIA;0;0
01.235.622/0001-61;2024-03-28;1;Cardeal Leme;FINANCEIRO;0.144606;0.003487
01.235.622/0001-61;2024-03-28;1;Cardeal Leme;LOGISTICA;0;0
01.235.622/0001-61;2024-03-28;1;Cardeal Leme;TELECOMUNICAÇÃO;0.113511;0.002737
01.235.622/0001-61;2024-03-28;1;Cardeal Leme;TI;0.425985;0.010273
01.235.622/0001-61;2024-03-28;1;Carioca;COMERCIO;0.275818;0.006973
01.235.622/0001-61;2024-03-28;1;Carioca;FINANCEIRO;0.724182;0.018308
01.235.622/0001-61;2024-03-28;1;CESBOM;ENSINO;1;0.055478
01.235.622/0001-61;2024-03-28;1;Citta America;COMERCIO;0.002166;0.000946
01.235.622/0001-61;2024-03-28;1;Citta America;ENSINO;0.764812;0.334109
01.235.622/0001-61;2024-03-28;1;Citta America;ACADEMIA;0.233022;0.101796
01.235.622/0001-61;2024-03-28;1;Citta Office;MIDIA;1;0.036146
01.235.622/0001-61;2024-03-28;1;Conde de Bonfim,149;DISPONÍVEL;0;0
01.235.622/0001-61;2024-03-28;1;Dom Gerado 46;LOGÍSTICA;1;0.005477
01.235.622/0001-61;2024-03-28;1;Dom Gerado 42;MIDIA;1;0.012118
01.235.622/0001-61;2024-03-28;1;Golden Corporate;ENGENHARIA;0.558045;0.011308
