CNPJ_Fundo;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
01.235.622/0001-61;2024-03-28;1;Janeiro /24;0;0
01.235.622/0001-61;2024-03-28;1;Fevereiro/24;0;0
01.235.622/0001-61;2024-03-28;1;Março/24;0;0
01.235.622/0001-61;2024-06-30;1;Abril /24;0.005225;0
01.235.622/0001-61;2024-06-30;1;Maio/24;0.002879;0
01.235.622/0001-61;2024-06-30;1;Junho/24;-0.008573;0
03.683.056/0001-86;2024-03-31;1;Janeiro;-0.000796;-0.000796
03.683.056/0001-86;2024-03-31;1;Fevereiro;0.008426;0.008426
03.683.056/0001-86;2024-03-31;1;Março;0.000804;0.000467
10.522.648/0001-81;2024-03-28;1;Janeiro/24;0;0
10.522.648/0001-81;2024-03-28;1;Fevereiro/23;0;0
10.522.648/0001-81;2024-03-28;1;Março/23;0;0
10.522.648/0001-81;2024-06-30;1;Abril/24;0;0
10.522.648/0001-81;2024-06-30;1;Maio/24;0;0
10.522.648/0001-81;2024-06-30;1;Junho/24;0;0
11.268.335/0001-01;2024-03-28;1;01/2024;0.020555;0.020555
11.268.335/0001-01;2024-03-28;1;02/2024;0.003068;0.003068
11.268.335/0001-01;2024-03-28;1;03/2024;0.003647;0.003647
11.268.335/0001-01;2024-06-28;1;04/2024;0.003655;0.003655
11.268.335/0001-01;2024-06-28;1;05/2024;0.021463;0.021463
11.268.335/0001-01;2024-06-28;1;06/2024;-0.032662;-0.032662
14.410.722/0001-29;2024-03-28;1;01/2024;0.022246;0.022246
14.410.722/0001-29;2024-03-28;1;02/2024;0.009414;0.009414
14.410.722/0001-29;2024-03-28;1;03/2024;0.000135;0.000135
14.410.722/0001-29;2024-06-28;1;01/2024;0.009472;0.009472
14.410.722/0001-29;2024-06-28;1;02/2024;0.010025;0.010025
14.410.722/0001-29;2024-06-28;1;03/2024;0.019178;0.019178
17.311.079/0001-74;2024-03-31;1;Janeiro/2024;-0.0005;-0.0005
17.311.079/0001-74;2024-03-31;1;Feveiro/2024;-0.0003;-0.0003
17.311.079/0001-74;2024-03-31;1;março/2024;-0.001;-0.001
17.311.079/0001-74;2024-06-30;2;Abril/2024;-0.000189;-0.000189
17.311.079/0001-74;2024-06-30;2;Maio/2024;-4.2E-05;-4.2E-05
17.311.079/0001-74;2024-06-30;2;Junho/2024;-9.9E-05;-9.9E-05
17.311.079/0001-74;2024-09-30;1;Julho/2024;0.000544;0.000544
17.311.079/0001-74;2024-09-30;1;Agosto/2024;0.000988;0.000988
17.311.079/0001-74;2024-09-30;1;Setembro/2024;5.1E-05;5.1E-05
18.289.950/0001-43;2024-03-28;1;01/2024;0.004919;0.004919
18.289.950/0001-43;2024-03-28;1;02/2024;0.000179;0.000179
18.289.950/0001-43;2024-03-28;1;03/2024;0.00489;0.00489
18.289.950/0001-43;2024-06-28;1;04/2024;0.003052;0.003052
18.289.950/0001-43;2024-06-28;1;05/2024;0.003715;0.003715
18.289.950/0001-43;2024-06-28;1;06/2024;-0.015288;-0.015288
18.330.535/0001-96;2024-03-28;1;01/2024;0.029433;0.029433
18.330.535/0001-96;2024-03-28;1;02/2024;0.005294;0.005294
18.330.535/0001-96;2024-03-28;1;03/2024;0.006312;0.006312
18.330.535/0001-96;2024-06-28;1;04/2024;0.00753;0.00753
18.330.535/0001-96;2024-06-28;1;05/2024;0.006555;0.006555
18.330.535/0001-96;2024-06-28;1;06/2024;2.6E-05;2.6E-05
19.722.048/0001-31;2024-03-31;1;Não possui informação apresentada.;;
19.722.048/0001-31;2024-06-30;2;Não possui informação apresentada.;;
20.216.935/0001-17;2024-03-28;1;01/2024;0.012331;0.012331
20.216.935/0001-17;2024-03-28;1;02/2024;0.010726;0.010726
20.216.935/0001-17;2024-03-28;1;03/2024;0.009819;0.009819
20.216.935/0001-17;2024-06-28;1;04/2024;-0.012049;-0.01984
20.216.935/0001-17;2024-06-28;1;05/2024;-0.002367;-0.010401
20.216.935/0001-17;2024-06-28;1;06/2024;-0.009605;-0.017785
24.796.967/0001-90;2024-03-31;1;Não possui informação apresentada.;;
24.796.967/0001-90;2024-06-30;2;Não possui informação apresentada.;;
28.893.734/0001-66;2024-03-28;1;01/2024;-0.098699;-0.098699
28.893.734/0001-66;2024-03-28;1;02/2024;-0.076153;-0.076153
28.893.734/0001-66;2024-03-28;1;03/2024;-0.113164;-0.113164
28.893.734/0001-66;2024-06-28;1;04/2024;-0.094663;-0.094663
28.893.734/0001-66;2024-06-28;1;05/2024;-0.070993;-0.070993
28.893.734/0001-66;2024-06-28;1;06/2024;-0.079665;-0.079665
32.287.811/0001-01;2024-03-31;1;01/2024;-0.001185026;-0.001185026
32.287.811/0001-01;2024-03-31;1;02/2024;-0.000966679;-0.000966679
32.287.811/0001-01;2024-03-31;1;03/2024;-0.000659565;-0.000659565
32.287.811/0001-01;2024-06-30;1;04/2024;-0.00037198;-0.00037198
32.287.811/0001-01;2024-06-30;1;05/2024;-0.001159841;-0.001159841
32.287.811/0001-01;2024-06-30;1;06/2024;-0.000368727;-0.000368727
34.691.925/0001-48;2024-03-28;1;01/2024;0.009642;0.009642
34.691.925/0001-48;2024-03-28;1;02/2024;-0.01137;-0.01137
34.691.925/0001-48;2024-03-28;1;03/2024;-0.010016;-0.010016
34.691.925/0001-48;2024-06-28;1;04/2024;-0.010707;-0.010707
34.691.925/0001-48;2024-06-28;1;05/2024;-0.011926;-0.011926
34.691.925/0001-48;2024-06-28;1;06/2024;-0.010398;-0.010398
34.693.040/0001-88;2024-03-28;1;01/2024;0.296788;0.296788
34.693.040/0001-88;2024-03-28;1;02/2024;0.184335;0.184335
34.693.040/0001-88;2024-03-28;1;03/2024;-0.339074;-0.339074
34.693.040/0001-88;2024-06-28;1;04/2024;-0.477885;-0.477885
34.693.040/0001-88;2024-06-28;1;05/2024;0.501727;0.501727
34.693.040/0001-88;2024-06-28;1;06/2024;-0.444924;-0.444924
35.360.651/0001-77;2024-03-28;1;Janeiro/24;0;0
35.360.651/0001-77;2024-03-28;1;Fevereiro/24;0;0
35.360.651/0001-77;2024-03-28;1;Março/24;0;0
35.360.651/0001-77;2024-06-30;2;Abril/24;-0.001754;0
35.360.651/0001-77;2024-06-30;2;Maio/24;0.003376;0
35.360.651/0001-77;2024-06-30;2;Junho/24;0.006195;0
35.940.506/0001-65;2024-03-31;1;01/2024;-0.025124971;-0.025124971
35.940.506/0001-65;2024-03-31;1;02/2024;-0.012713203;-0.012713203
35.940.506/0001-65;2024-03-31;1;03/2024;-0.007563068;-0.007563068
35.940.506/0001-65;2024-06-30;1;04/2024;-0.052865283;-0.052865283
35.940.506/0001-65;2024-06-30;1;05/2024;-0.011944631;-0.011944631
35.940.506/0001-65;2024-06-30;1;06/2024;-0.018761972;-0.018761972
36.615.915/0001-59;2024-03-28;1;10/2023;-0.040088;-0.040088
36.615.915/0001-59;2024-03-28;1;11/2023;-0.002149;-0.002149
36.615.915/0001-59;2024-03-28;1;12/2023;0.021118;0.021118
36.615.915/0001-59;2024-06-28;1;04/2024;-0.017141;-0.023345
36.615.915/0001-59;2024-06-28;1;05/2024;0.00512;0.00512
36.615.915/0001-59;2024-06-28;1;06/2024;-0.003947;-0.003947
38.376.805/0001-07;2024-03-28;1;01/2024;0.007346;0.007346
38.376.805/0001-07;2024-03-28;1;02/2024;0.004477;0.004477
38.376.805/0001-07;2024-03-28;1;03/2024;0.004748;0.004748
38.376.805/0001-07;2024-06-28;1;04/2024;0.005301;0.005301
38.376.805/0001-07;2024-06-28;1;05/2024;-0.002871;-0.002871
38.376.805/0001-07;2024-06-28;1;06/2024;0.004462;0.004462
40.054.838/0001-82;2024-03-31;1;Não possui informação apresentada.;;
40.054.838/0001-82;2024-06-30;2;Não possui informação apresentada.;;
41.833.876/0001-04;2024-03-28;1;z;;
41.833.876/0001-04;2024-06-30;1;z;;
42.273.290/0001-97;2024-03-28;1;Janeiro/24;0;0
42.273.290/0001-97;2024-03-28;1;Fevereiro/24;0;0
42.273.290/0001-97;2024-03-28;1;Março/24;0;0
42.273.290/0001-97;2024-06-30;2;Abril/24;0.015294;0
42.273.290/0001-97;2024-06-30;2;Maio/24;0.005912;0
42.273.290/0001-97;2024-06-30;2;Junho/24;-0.18134;0
42.869.869/0001-17;2024-03-31;1;Outubro;0.021284;0.029566
42.869.869/0001-17;2024-03-31;1;Novembro;0.002802;0.002826
42.869.869/0001-17;2024-03-31;1;Dezembro;-0.002297;-0.002055
42.869.869/0001-17;2024-06-30;1;Abril;0.00166;0.00174
42.869.869/0001-17;2024-06-30;1;Maio;0.000114;0.000378
42.869.869/0001-17;2024-06-30;1;Junho;-0.000752;-0.000711
42.869.869/0001-17;2024-09-30;1;Julho;0.01583;0.015281
42.869.869/0001-17;2024-09-30;1;Agosto;-3.5E-05;-3.5E-05
42.869.869/0001-17;2024-09-30;1;Setembro;-0.002253;-0.002078
43.010.844/0001-26;2024-03-31;1;01/2024;0.0167;0.01634
43.010.844/0001-26;2024-03-31;1;02/2024;-0.00348;-0.003868
43.010.844/0001-26;2024-03-31;1;03/2024;0.008984;0.008645
43.010.844/0001-26;2024-06-30;1;04/2024;-0.002872;-0.00310812984013
43.010.844/0001-26;2024-06-30;1;05/2024;0.007338;0.00714670735434
43.010.844/0001-26;2024-06-30;1;06/2024;-0.003896;-0.004086668462
43.617.647/0001-70;2024-03-31;1;Janeiro/2024;-0.0001;-0.0001
43.617.647/0001-70;2024-03-31;1;Fevereiro/2024;-5E-05;-5E-05
43.617.647/0001-70;2024-03-31;1;Março/2024;-5E-05;-5E-05
43.617.647/0001-70;2024-06-30;1;Abril/2024;-5E-05;-5E-05
43.617.647/0001-70;2024-06-30;1;Maio/2024;0;0
43.617.647/0001-70;2024-06-30;1;Junho/2024;0.031517;0.031517
43.617.647/0001-70;2024-09-30;1;Julho/2024;0;0
43.617.647/0001-70;2024-09-30;1;Agosto/2024;9.8E-05;0
43.617.647/0001-70;2024-09-30;1;Setembro/2024;4.9E-05;0
45.254.732/0001-46;2024-03-31;1;01/2024;-0.013643971;-0.013643971
45.254.732/0001-46;2024-03-31;1;02/2024;-0.012364417;-0.012364417
45.254.732/0001-46;2024-03-31;1;03/2024;-0.030480511;-0.030480511
45.254.732/0001-46;2024-06-30;1;04/2024;-0.020655879;-0.020655879
45.254.732/0001-46;2024-06-30;1;05/2024;-0.018346456;-0.018346456
45.254.732/0001-46;2024-06-30;1;06/2024;-0.01390664;-0.01390664
47.154.849/0001-83;2024-03-28;1;01/2024;-0.003468;-0.003468
47.154.849/0001-83;2024-03-28;1;02/2024;0.0048;0.0048
47.154.849/0001-83;2024-03-28;1;03/2024;-0.051989;-0.051989
47.154.849/0001-83;2024-06-28;1;01/2024;-0.005389;-0.005389
47.154.849/0001-83;2024-06-28;1;02/2024;-0.004812;-0.004812
47.154.849/0001-83;2024-06-28;1;03/2024;-0.003297;-0.003297
50.479.122/0001-80;2024-06-30;1;02/2024;0.000697;-0.003487
52.219.978/0001-42;2024-03-28;1;jan/2024;0.0124039500761008;0.00769269670483499
52.219.978/0001-42;2024-03-28;1;fev/2024;0.0125559972549107;0.00815471255231311
52.219.978/0001-42;2024-03-28;1;mar/2024;0.0128206098668156;0.00964445942426697
52.219.978/0001-42;2024-06-28;1;abr/24;0.0126517862134384;0.0106925545606511
52.219.978/0001-42;2024-06-28;1;mai/24;0.0121866913035401;0.00929882505571412
52.219.978/0001-42;2024-06-28;1;jun/24;0.0111160025016785;0.0075642100957769
