CNPJ_Fundo;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;9674003.75;12501593.74;0;0;0;0;0;0;0;0;-4221255.4;-4221255.4;5452748.35;8280338.34;0;0;0;0;0;0;0;0;0;0;5452748.35;8280338.34;178132.56;178132.56;0;0;0;0;0;0;178132.56;178132.56;;;-316988.21;-316163.56;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;-35171.6;-35171.6;0;0;-53794.07;-53794.07;0;0;0;-5500;0;0;0;0;-11653.04;-89895.97;-417606.85;-500525.2;5213274.06;7957945.7;7957945.7;7560048.415;;0;7952423.155;-5993546.18;1958876.975;0.999306
00.332.266/0001-31;2024-06-30;1;0;0;0;0;0;0;0;0;0;0;11895125.65;11097974.1;0;0;0;0;0;0;0;0;-5365109.3;-5365109.3;6530016.35;5732864.8;0;0;0;0;0;0;0;0;0;0;6530016.35;5732864.8;158101.02;158101.02;0;0;0;0;0;0;158101.02;158101.02;;;-317812.88;-317812.88;0;0;0;0;0;0;0;0;0;0;-13551.02;-13551.02;0;0;-55347.71;-55347.71;0;0;-55918.8;-55918.8;0;0;0;0;0;0;-126.81;-126.81;-16581.87;-16581.87;-459339.09;-459339.09;6228778.28;5431626.73;13389572.43;12720093.8085;;;13323222.6485;-11167107.92;2156114.7285;0.995045
00.613.094/0001-74;2024-03-31;1;;;;;;;;;0;0;0;;-130809.97;;0;;-626848.63;;0;;-7498.12;;-765156.72;0;0;;0;;0;;0;;0;0;-765156.72;0;0;;0;;0;;0;;0;0;0;0;0;;0;;0;;0;;0;;-36000;;0;;0;;-3347.5;;0;;-72387.14;;0;;0;;0;;0;;19336.05;0;-92398.59;0;-857555.31;0;0;0;;0;0;0;0;0
00.613.094/0001-74;2024-06-30;1;;;;;;;;;0;0;0;;-258607.36;;0;;-1550772.34;;0;;-7498.12;;-1816877.82;0;0;;0;;0;;0;;0;0;-1816877.82;0;0;;0;;0;;0;;0;0;0;0;0;;0;;-23000;;0;;0;;-63000;;-57879;;0;;-16333.17;;0;;-103299.83;;0;;0;;0;;0;;-14936.69;0;-278448.69;0;-2095326.51;0;0;0;;0;0;0;0;0
00.762.723/0001-28;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;41614.18;41614.21;0;0;0;0;0;0;0;0;-1150660.33;-668518.75;-1109046.15;-626904.54;0;0;0;0;0;0;0;0;0;0;-1109046.15;-626904.54;6615.21;6615.21;0;0;0;0;0;0;6615.21;6615.21;;;-145178.07;-144475.32;0;0;0;0;0;0;0;0;0;0;0;-22278.39;0;0;-2767.98;-2767.98;0;0;-6881.16;-6881.16;0;0;0;-2440;0;0;0;0;-9670.94;-10298.94;-164498.15;-189141.79;-1266929.09;-809431.12;-809431.12;0;;0;0;0;0;0
00.762.723/0001-28;2024-06-30;1;;;;;;;;;0;0;38493.76;59362.36;0;0;0;0;0;0;0;0;-1766096.42;-1820004.17;-1727602.66;-1760641.81;;;;;;;;;0;0;-1727602.66;-1760641.81;77013.05;77013.05;;;;;;;77013.05;77013.05;;;-145880.82;-145880.82;;;;;;;;;0;0;0;-7426.11;;;-10119.3;-10119.3;;;-8878.87;-8878.87;;;0;0;;;-3994.96;-3994.96;-2399.19;-2399.19;-171273.14;-178699.25;-1821862.75;-1862328.01;-2671759.13;0;;;0;0;0;0
00.868.235/0001-08;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;2350694.65;2325904.6;-8790;-8790;0;0;0;0;0;0;-245463.2;-245598;2096441.45;2071516.6;0;0;0;0;0;0;0;0;0;0;2096441.45;2071516.6;57271.08;57271.08;0;0;0;0;0;0;57271.08;57271.08;;;-174902.22;-174902.22;0;0;0;0;0;0;0;0;0;0;0.63;0;0;0;-2451.26;-2451.26;0;0;-6142.48;-6142.48;0;0;0;-5200;0;0;0;0;-42968.97;-88350.97;-226464.3;-277046.93;1927248.23;1851740.75;1851740.75;1759153.7125;;0;1739261.3225;-1197432.3;541829.0225;0.939257
00.868.235/0001-08;2024-06-30;1;;;;;;;;;0;0;2414475.48;2229106.7;0;0;0;0;0;0;0;0;-417625.3;-419227.44;1996850.18;1809879.26;;;;;;;;;0;0;1996850.18;1809879.26;61654.89;61654.89;;;;;;;61654.89;61654.89;;;-174902.22;-168052.59;;;;;;;;;0;0;-5481.05;-5481.05;;;-11691.27;-11691.27;;;-5379.31;-5379.31;;;0;0;;;-58.35;-58.35;-39745.42;-39745.42;-237257.62;-230407.99;1821247.45;1641126.16;3492866.91;3318223.5645;;;3321486.4045;-2931990.24;389496.1645;0.950934
01.201.140/0001-90;2024-03-31;1;0;0;0;0;0;0;0;0;0;0;9585687.35;10779169.46;-931286.99;-931286.99;0;0;0;0;0;0;-566375.35;-566375.35;8088025.01;9281507.12;0;0;0;0;0;0;0;0;0;0;8088025.01;9281507.12;193592.4;193592.4;0;0;0;0;0;0;193592.4;193592.4;;;-290701.2;-290701.2;0;0;0;0;0;0;0;0;0;0;0;-81108;0;0;-20995.58;-20995.58;0;0;-11534.03;-11534.03;0;0;-5500;-5500;0;0;0;0;-15490.47;-16407.47;-344221.28;-426246.28;7937396.13;9048853.24;9048853.24;8596410.578;;0;8570529.238;-6218622.6;2351906.638;0.94714
01.201.140/0001-90;2024-06-30;2;;;;;;;;;0;0;4291520.52;4265109.33;-6500;-6500;0;0;0;0;0;0;-926462.81;-926462.81;3358557.71;3332146.52;;;;;;;;;0;0;3358557.71;3332146.52;93724.94;93724.94;;;;;;;93724.94;93724.94;;;-184957.41;-184957.41;;;;;;;;;0;0;-6937.61;-6937.61;;;-42153.77;-42153.77;;;-9127.66;-9127.66;;;0;0;;;-103.98;-103.98;-16613.19;-16613.19;-259893.62;-259893.62;3192389.03;3165977.84;14839516.22;14097540.409;;;14645245.019;-14645245.02;-0.001;0.986909
